city	id	population
Ada	00172	1607
Adams	00190	653
Adrian	00262	1240
Afton	00316	2884
Aitkin	00460	2284
Akeley	00496	368
Albany	00622	2453
Alberta	00676	109
Albert Lea	00694	17642
Albertville	00730	7100
Alden	00838	735
Aldrich	00892	57
Alexandria	00928	11034
Alpha	01162	265
Altura	01234	495
Alvarado	01252	368
Amboy	01324	534
Andover	01486	30972
Angle Inlet CDP	01558	39
Annandale	01684	3183
Anoka	01720	16557
Appleton	01864	1388
Apple Valley	01900	49435
Arco	01972	71
Arden Hills	02026	9508
Argyle	02134	539
Arlington	02152	2232
Arnold CDP	02260	2971
Ashby	02422	450
Askov	02548	383
Atwater	02692	1002
Audubon	02728	607
Aurora	02872	1568
Austin	02908	24454
Avoca	03052	128
Avon	03070	1388
Babbitt	03106	1417
Backus	03124	347
Badger	03160	507
Bagley	03196	1291
Baker CDP	03214	64
Balaton	03250	551
Ball Club CDP	03376	371
Barnesville	03574	2508
Barnum	03628	636
Barrett	03682	258
Barry	03718	17
Battle Lake	03970	909
Baudette	04024	1038
Baxter	04042	7590
Bayport	04114	2957
Beardsley	04204	191
Beaulieu CDP	04348	79
Beaver Bay	04456	110
Beaver Creek	04492	295
Becker	04618	4539
Bejou	04672	95
Belgrade	04762	754
Bellechester	04798	212
Belle Plaine	04834	6552
Bellingham	04960	199
Beltrami	05014	102
Belview	05050	384
Bemidji	05068	13770
Bena	05104	131
Benson	05212	3111
Bertha	05482	491
Bethel	05554	456
Bigelow	05644	278
Big Falls	05680	183
Bigfork	05698	333
Big Lake CDP	05744	297
Big Lake	05752	10148
Bingham Lake	05896	170
Birchwood Village	06058	783
Bird Island	06076	944
Biscay	06112	101
Biwabik	06148	1062
Blackduck	06256	734
Blaine	06382	58256
Blomkest	06490	105
Blooming Prairie	06580	1848
Bloomington	06616	83894
Blue Earth	06688	3119
Bluffton	06778	223
Bock	06814	79
Borup	07030	128
Bovey	07048	769
Bowlus	07066	375
Boyd	07138	145
Boy River	07174	34
Braham	07282	1742
Brainerd	07300	13170
Brandon	07336	451
Breckenridge	07462	3251
Breezy Point	07516	2141
Brewster	07660	507
Bricelyn	07678	367
Brooklyn Center	07948	30230
Brooklyn Park	07966	76716
Brook Park	07984	169
Brooks	08038	104
Brookston	08056	99
Brooten	08092	605
Browerville	08110	681
Brownsdale	08164	746
Browns Valley	08200	595
Brownsville	08218	496
Brownton	08254	773
Bruno	08290	84
Buckman	08416	227
Buffalo	08452	15320
Buffalo Lake	08488	801
Buhl	08524	1008
Burnsville	08794	60593
Burtrum	08902	131
Butterfield	08992	594
Byron	09154	4957
Caledonia	09226	2748
Callaway	09280	242
Calumet	09316	365
Cambridge	09370	7833
Campbell	09496	213
Canby	09604	1757
Cannon Falls	09730	3990
Canton	09802	286
Carlos	09964	542
Carlton	10018	713
Carver	10144	3890
Cass Lake	10252	740
Cedar Mills	10468	50
Center City	10576	620
Centerville	10648	3810
Ceylon	10792	322
Champlin	10846	23355
Chandler	10900	207
Chanhassen	10918	23552
Chaska	10972	23873
Chatfield	11008	2783
Chickamaw Beach	11296	104
Chisago City	11350	4837
Chisholm	11386	4900
Chokio	11440	398
Circle Pines	11494	4929
Clara City	11548	1261
Claremont	11566	509
Clarissa	11602	693
Clarkfield	11656	732
Clarks Grove	11674	576
Clearbrook	11746	511
Clear Lake	11764	524
Clearwater	11800	1686
Clements	11836	191
Cleveland	11872	614
Climax	11962	236
Clinton	11980	366
Clitherall	12088	39
Clontarf	12124	140
Cloquet	12160	11975
Coates	12376	108
Cobden	12394	30
Cohasset	12412	2714
Cokato	12430	2651
Cold Spring	12484	3931
Coleraine	12502	1720
Cologne	12664	1606
Columbia Heights	12700	19463
Columbus	12718	3939
Comfrey	12772	422
Comstock	12862	164
Conger	12952	185
Cook	13006	646
Coon Rapids	13114	61523
Corcoran	13168	5448
Correll	13384	48
Cosmos	13420	514
Cottage Grove	13456	34870
Cottonwood	13564	1015
Courtland	13582	656
Cromwell	13780	168
Crookston	13870	7630
Crosby	13924	2209
Crosslake	13978	2115
Crystal	14158	22238
Currie	14320	202
Cuyuna	14428	261
Cyrus	14446	378
Dakota	14518	330
Dalton	14626	307
Danube	14716	552
Danvers	14734	105
Darfur	14770	119
Darwin	14842	428
Dassel	14878	1482
Dawson	14968	1506
Dayton	15022	4766
Deephaven	15148	3670
Deer Creek	15184	268
Deer River	15310	1008
Deerwood	15346	410
De Graff	15418	112
Delano	15454	5472
Delavan	15472	188
Delhi	15544	79
Dellwood	15616	1180
Denham	15670	39
Dennison	15706	141
Dent	15724	159
Detroit Lakes	15832	8445
Dexter	15886	329
Dilworth	15976	4047
Dodge Center	15994	2616
Donaldson	16030	37
Donnelly	16084	238
Doran	16156	32
Dover	16264	804
Dovray	16300	59
Duluth	17000	84558
Dumont	17090	73
Dundas	17126	1518
Dundee	17144	93
Dunnell	17180	168
Eagan	17288	64576
Eagle Bend	17342	471
Eagle Lake	17378	2466
East Bethel	17486	11608
East Grand Forks	17612	8512
East Gull Lake	17630	1067
Easton	17738	194
Ebro CDP	17882	94
Echo	17900	374
Eden Prairie	18116	61385
Eden Valley	18134	867
Edgerton	18152	1236
Edina	18188	48347
Effie	18260	158
Eitzen	18368	256
Elba	18386	156
Elbow Lake CDP	18440	107
Elbow Lake	18458	1285
Elgin	18530	1280
Elizabeth	18566	182
Elko New Market	18662	4260
Elk River	18674	22699
Elkton	18728	154
Ellendale	18746	669
Ellsworth	18836	435
Elmdale	18872	81
Elmore	18998	591
Elrosa	19088	149
Ely	19142	3422
Elysian	19160	541
Emily	19286	860
Emmons	19340	388
Erhard	19556	116
Erskine	19700	506
Esko CDP	19718	1916
Evan	19880	35
Evansville	19898	566
Eveleth	19934	3590
Excelsior	20078	2166
Eyota	20114	2175
Fairfax	20222	956
Fairhaven CDP	20276	367
Fairmont	20330	10393
Falcon Heights	20420	5406
Faribault	20546	20721
Farmington	20618	21363
Farwell	20690	74
