county	id	population
Aitkin	001	15839
Anoka	003	331225
Becker	005	32404
Beltrami	007	44511
Benton	009	38245
Big Stone	011	5081
Blue Earth	013	64017
Brown	015	25376
Carlton	017	34463
Carver	019	92484
Cass	021	28309
Chippewa	023	12074
Chisago	025	52396
Clay	027	58951
Clearwater	029	8629
Cook	031	5144
Cottonwood	033	11445
Crow Wing	035	62111
Dakota	037	400599
Dodge	039	19982
Douglas	041	35842
Faribault	043	14068
Fillmore	045	20483
Freeborn	047	30765
Goodhue	049	45473
Grant	051	5901
Hennepin	053	1160908
Houston	055	18674
Hubbard	057	20328
Isanti	059	37697
Itasca	061	44549
Jackson	063	10108
Kanabec	065	16028
Kandiyohi	067	41635
Kittson	069	4401
Koochiching	071	13067
Lac qui Parle	073	7045
Lake	075	10641
Lake of the Woods	077	3955
Le Sueur	079	27563
Lincoln	081	5689
Lyon	083	25408
McLeod	085	35931
Mahnomen	087	5427
Marshall	089	9359
Martin	091	20391
Meeker	093	22899
Mille Lacs	095	25438
Morrison	097	32787
Mower	099	38843
Murray	101	8521
Nicollet	103	32572
Nobles	105	21230
Norman	107	6632
Olmsted	109	144099
Otter Tail	111	56454
Pennington	113	13791
Pine	115	27808
Pipestone	117	9279
Polk	119	30918
Pope	121	10766
Ramsey	123	511329
Red Lake	125	4045
Redwood	127	15636
Renville	129	15221
Rice	131	61700
Rock	133	9381
Roseau	135	15387
St Louis	137	196747
Scott	139	131780
Sherburne	141	87344
Sibley	143	14991
Stearns	145	149894
Steele	147	36130
Stevens	149	9637
Swift	151	9469
Todd	153	24482
Traverse	155	3415
Wabasha	157	21331
Wadena	159	13514
Waseca	161	17938
Washington	163	239022
Watonwan	165	11036
Wilkin	167	6440
Winona	169	50850
Wright	171	125414
Yellow Medicine	173	10102
