city	disability_percentage	id	score
Ada	0.116	00172	39
Adams	0.135	00190	45
Adrian	0.098	00262	33
Afton	0.092	00316	31
Aitkin	0.157	00460	52
Akeley	0.158	00496	53
Albany	0.102	00622	34
Alberta	0.165	00676	55
Albert Lea	0.145	00694	48
Albertville	0.045	00730	15
Alden	0.125	00838	42
Aldrich	0.140	00892	47
Alexandria	0.138	00928	46
Alpha	0.045	01162	15
Altura	0.077	01234	26
Alvarado	0.057	01252	19
Amboy	0.140	01324	47
Andover	0.071	01486	24
Annandale	0.089	01684	30
Anoka	0.166	01720	55
Appleton	0.195	01864	65
Apple Valley	0.071	01900	24
Arco	0.127	01972	42
Arden Hills	0.071	02026	24
Argyle	0.180	02134	60
Arlington	0.133	02152	44
Ashby	0.167	02422	56
Askov	0.272	02548	91
Atwater	0.130	02692	43
Audubon	0.102	02728	34
Aurora	0.141	02872	47
Austin	0.135	02908	45
Avoca	0.125	03052	42
Avon	0.070	03070	23
Babbitt	0.201	03106	67
Backus	0.164	03124	55
Badger	0.152	03160	51
Bagley	0.287	03196	96
Balaton	0.140	03250	47
Barnesville	0.098	03574	33
Barnum	0.118	03628	39
Barrett	0.186	03682	62
Barry	0.118	03718	39
Battle Lake	0.226	03970	75
Baudette	0.191	04024	64
Baxter	0.084	04042	28
Bayport	0.144	04114	48
Beardsley	0.225	04204	75
Beaver Bay	0.236	04456	79
Beaver Creek	0.078	04492	26
Becker	0.056	04618	19
Bejou	0.084	04672	28
Belgrade	0.098	04762	33
Bellechester	0.099	04798	33
Belle Plaine	0.073	04834	24
Bellingham	0.236	04960	79
Beltrami	0.059	05014	20
Belview	0.211	05050	70
Bemidji	0.134	05068	45
Bena	0.221	05104	74
Benson	0.175	05212	58
Bertha	0.204	05482	68
Bethel	0.101	05554	34
Bigelow	0.050	05644	17
Big Falls	0.295	05680	98
Bigfork	0.345	05698	100
Big Lake	0.087	05752	29
Bingham Lake	0.118	05896	39
Birchwood Village	0.132	06058	44
Bird Island	0.163	06076	54
Biscay	0.149	06112	50
Biwabik	0.207	06148	69
Blackduck	0.184	06256	61
Blaine	0.074	06382	25
Blomkest	0.219	06490	73
Blooming Prairie	0.108	06580	36
Bloomington	0.117	06616	39
Blue Earth	0.127	06688	42
Bluffton	0.085	06778	28
Bock	0.241	06814	80
Borup	0.094	07030	31
Bovey	0.248	07048	83
Bowlus	0.107	07066	36
Boyd	0.214	07138	71
Boy River	0.206	07174	69
Braham	0.152	07282	51
Brainerd	0.204	07300	68
Brandon	0.100	07336	33
Breckenridge	0.151	07462	50
Breezy Point	0.076	07516	25
Brewster	0.103	07660	34
Bricelyn	0.177	07678	59
Brooklyn Center	0.124	07948	41
Brooklyn Park	0.092	07966	31
Brook Park	0.136	07984	45
Brooks	0.221	08038	74
Brookston	0.303	08056	100
Brooten	0.179	08092	60
Browerville	0.163	08110	54
Brownsdale	0.142	08164	47
Browns Valley	0.229	08200	76
Brownsville	0.171	08218	57
Brownton	0.120	08254	40
Bruno	0.167	08290	56
Buckman	0.110	08416	37
Buffalo	0.110	08452	37
Buffalo Lake	0.144	08488	48
Buhl	0.174	08524	58
Burnsville	0.088	08794	29
Burtrum	0.099	08902	33
Butterfield	0.135	08992	45
Byron	0.055	09154	18
Caledonia	0.172	09226	57
Callaway	0.153	09280	51
Calumet	0.233	09316	78
Cambridge	0.146	09370	49
Campbell	0.164	09496	55
Canby	0.171	09604	57
Cannon Falls	0.119	09730	40
Canton	0.168	09802	56
Carlos	0.142	09964	47
Carlton	0.168	10018	56
Carver	0.021	10144	7
Cass Lake	0.192	10252	64
Cedar Mills	0.120	10468	40
Center City	0.129	10576	43
Centerville	0.050	10648	17
Ceylon	0.242	10792	81
Champlin	0.064	10846	21
Chandler	0.164	10900	55
Chanhassen	0.043	10918	14
Chaska	0.079	10972	26
Chatfield	0.093	11008	31
Chickamaw Beach	0.077	11296	26
Chisago City	0.139	11350	46
Chisholm	0.199	11386	66
Chokio	0.166	11440	55
Circle Pines	0.094	11494	31
Clara City	0.149	11548	50
Claremont	0.179	11566	60
Clarissa	0.128	11602	43
Clarkfield	0.175	11656	58
Clarks Grove	0.128	11674	43
Clearbrook	0.170	11746	57
Clear Lake	0.046	11764	15
Clearwater	0.087	11800	29
Clements	0.126	11836	42
Cleveland	0.083	11872	28
Climax	0.178	11962	59
Clinton	0.251	11980	84
Clitherall	0.359	12088	100
Clontarf	0.129	12124	43
Cloquet	0.134	12160	45
Coates	0.093	12376	31
Cobden	0.267	12394	89
Cohasset	0.120	12412	40
Cokato	0.100	12430	33
Cold Spring	0.127	12484	42
Coleraine	0.137	12502	46
Cologne	0.063	12664	21
Columbia Heights	0.118	12700	39
Columbus	0.075	12718	25
Comfrey	0.145	12772	48
Comstock	0.104	12862	35
Conger	0.081	12952	27
Cook	0.132	13006	44
Coon Rapids	0.097	13114	32
Corcoran	0.056	13168	19
Correll	0.167	13384	56
Cosmos	0.103	13420	34
Cottage Grove	0.080	13456	27
Cottonwood	0.137	13564	46
Courtland	0.056	13582	19
Cromwell	0.292	13780	97
Crookston	0.155	13870	52
Crosby	0.209	13924	70
