county	disability_percentage	tract	score
Aitkin	0.221	27001770100	53
Aitkin	0.187	27001770200	44
Aitkin	0.148	27001770300	35
Aitkin	0.235	27001770400	56
Aitkin	0.214	27001790501	51
Aitkin	0.137	27001790502	32
Anoka	0.195	27003050107	46
Anoka	0.098	27003050108	22
Anoka	0.115	27003050109	26
Anoka	0.077	27003050110	16
Anoka	0.082	27003050111	18
Anoka	0.059	27003050114	12
Anoka	0.080	27003050115	17
Anoka	0.080	27003050116	17
Anoka	0.101	27003050208	23
Anoka	0.075	27003050210	16
Anoka	0.059	27003050215	12
Anoka	0.049	27003050216	9
Anoka	0.070	27003050217	15
Anoka	0.073	27003050218	15
Anoka	0.081	27003050219	17
Anoka	0.071	27003050220	15
Anoka	0.063	27003050221	13
Anoka	0.056	27003050222	11
Anoka	0.083	27003050223	18
Anoka	0.095	27003050224	21
Anoka	0.042	27003050225	8
Anoka	0.079	27003050226	17
Anoka	0.125	27003050227	29
Anoka	0.087	27003050228	19
Anoka	0.067	27003050229	14
Anoka	0.034	27003050230	6
Anoka	0.050	27003050232	10
Anoka	0.042	27003050233	8
Anoka	0.089	27003050234	20
Anoka	0.096	27003050235	21
Anoka	0.060	27003050236	12
Anoka	0.083	27003050237	18
Anoka	0.145	27003050401	34
Anoka	0.169	27003050402	40
Anoka	0.209	27003050501	50
Anoka	0.143	27003050504	33
Anoka	0.165	27003050505	39
Anoka	0.131	27003050602	30
Anoka	0.112	27003050605	25
Anoka	0.169	27003050606	40
Anoka	0.120	27003050607	27
Anoka	0.091	27003050608	20
Anoka	0.081	27003050609	17
Anoka	0.065	27003050610	14
Anoka	0.091	27003050702	20
Anoka	0.106	27003050704	24
Anoka	0.088	27003050706	19
Anoka	0.064	27003050707	13
Anoka	0.102	27003050709	23
Anoka	0.115	27003050710	26
Anoka	0.063	27003050711	13
Anoka	0.128	27003050712	29
Anoka	0.060	27003050805	12
Anoka	0.061	27003050806	12
Anoka	0.141	27003050807	33
Anoka	0.108	27003050808	24
Anoka	0.073	27003050809	16
Anoka	0.098	27003050810	22
Anoka	0.132	27003050811	30
Anoka	0.075	27003050813	16
Anoka	0.086	27003050816	19
Anoka	0.030	27003050818	5
Anoka	0.040	27003050819	7
Anoka	0.060	27003050820	12
Anoka	0.059	27003050821	12
Anoka	0.152	27003050901	36
Anoka	0.094	27003050902	21
Anoka	0.140	27003051001	32
Anoka	0.117	27003051002	27
Anoka	0.124	27003051101	29
