county	population	tract
Aitkin	2288	27001770100
Aitkin	2022	27001770200
Aitkin	3538	27001770300
Aitkin	3043	27001770400
Aitkin	1873	27001790501
Aitkin	3075	27001790502
Anoka	2935	27003050107
Anoka	4737	27003050108
Anoka	5164	27003050109
Anoka	2851	27003050110
Anoka	3593	27003050111
Anoka	2680	27003050114
Anoka	5383	27003050115
Anoka	4412	27003050116
Anoka	3310	27003050208
Anoka	3939	27003050210
Anoka	4052	27003050215
Anoka	5643	27003050216
Anoka	2869	27003050217
Anoka	3290	27003050218
Anoka	3049	27003050219
Anoka	6547	27003050220
Anoka	6591	27003050221
Anoka	5316	27003050222
Anoka	2609	27003050223
Anoka	2750	27003050224
Anoka	6389	27003050225
Anoka	2952	27003050226
Anoka	4174	27003050227
Anoka	5097	27003050228
Anoka	4049	27003050229
Anoka	2438	27003050230
Anoka	3810	27003050232
Anoka	2856	27003050233
Anoka	2937	27003050234
Anoka	2796	27003050235
Anoka	4354	27003050236
Anoka	5315	27003050237
Anoka	3064	27003050401
Anoka	3409	27003050402
Anoka	2727	27003050501
Anoka	2595	27003050504
Anoka	4762	27003050505
Anoka	2506	27003050602
Anoka	5426	27003050605
Anoka	2109	27003050606
Anoka	4846	27003050607
Anoka	4483	27003050608
Anoka	3409	27003050609
Anoka	6691	27003050610
Anoka	3035	27003050702
Anoka	4938	27003050704
Anoka	3805	27003050706
Anoka	6035	27003050707
Anoka	2219	27003050709
Anoka	3490	27003050710
Anoka	4424	27003050711
Anoka	4107	27003050712
Anoka	6638	27003050805
Anoka	6215	27003050806
Anoka	3261	27003050807
Anoka	2148	27003050808
Anoka	6200	27003050809
Anoka	3969	27003050810
Anoka	2593	27003050811
Anoka	6551	27003050813
Anoka	4719	27003050816
Anoka	4454	27003050818
Anoka	3487	27003050819
Anoka	3158	27003050820
Anoka	4863	27003050821
Anoka	2060	27003050901
Anoka	4929	27003050902
Anoka	2633	27003051001
Anoka	3622	27003051002
Anoka	4605	27003051101
Anoka	4471	27003051102
Anoka	3554	27003051103
Anoka	3915	27003051201
Anoka	3277	27003051202
Anoka	5112	27003051203
Anoka	2450	27003051206
Anoka	3558	27003051302
Anoka	2507	27003051304
Anoka	3058	27003051305
Anoka	5121	27003051400
Anoka	3186	27003051501
Anoka	2774	27003051502
Anoka	5170	27003051600
Becker	2840	27005450100
Becker	2358	27005450200
Becker	4910	27005450300
