name,type,lat,lng
Center City,city,45.3907969,-92.8182691
Chisago City,city,45.370242499999996,-92.88827090000001
Clara City,city,44.958014899999995,-95.3664046
Grove City,city,45.1519073,-94.6816644
Hill City,city,46.9860626,-93.59661729999999
Lake City,city,44.4402453,-92.2748993
Minnesota City,city,44.0919076,-91.7501515
Pine City,city,45.8307893,-92.9702089
Rush City,city,45.681625700000005,-92.9660459
Zumbrota,city,44.2944096,-92.6726918
Breckenridge,city,46.26600620000001,-96.585196
Breezy Point,city,46.605918,-94.218581
Brewster,city,43.6973232,-95.464209
Bricelyn,city,43.560808200000004,-93.81305400000001
Brook Park,city,45.9483211,-93.072797
Brooklyn Center,city,45.0680781,-93.31611099999999
Brooklyn Park,city,45.111181,-93.350499
Brooks,city,47.81663220000001,-96.00341800000001
Brookston,city,46.865381,-92.60230899999999
Brooten,city,45.4998855,-95.1156
Browerville,city,46.07944129999999,-94.864234
Browns Valley,city,45.594648799999995,-96.832829
Brownsdale,city,43.7401206,-92.867777
Brownsville,city,43.70039179999999,-91.28101099999999
Brownton,city,44.732296399999996,-94.351235
Bruno,city,46.2809896,-92.668061
Buckman,city,45.8972976,-94.093665
Buffalo,city,45.178489,-93.86618399999999
Buffalo Lake,city,44.7371408,-94.618138
Buhl,city,47.4992126,-92.769469
Burnsville,city,44.7648264,-93.279443
Burtrum,city,45.8658541,-94.687412
Butterfield,city,43.958090999999996,-94.793869
Byron,city,44.038042600000004,-92.64204000000001
Caledonia,city,43.6343059,-91.500826
Callaway,city,46.982105,-95.911962
Calumet,city,47.319964399999996,-93.268888
Cambridge,city,45.5614816,-93.227982
Chickamaw Beach,city,46.7450475,-94.384109
Chisholm,city,47.4875291,-92.87866
Chokio,city,45.573114399999994,-96.17429
Circle Pines,city,45.14080429999999,-93.150428
Claremont,city,44.045245,-92.998299
Clarissa,city,46.1283818,-94.949637
Clarkfield,city,44.7908229,-95.807916
Clarks Grove,city,43.7632117,-93.327558
Clear Lake,city,45.4488795,-93.99648499999999
Clearbrook,city,47.696263200000004,-95.428475
Clearwater,city,45.411085899999996,-94.040931
Clements,city,44.3800402,-95.054739
Cleveland,city,44.3235972,-93.83528000000001
Climax,city,47.6085439,-96.812234
Clinton,city,45.463294700000006,-96.441455
Clitherall,city,46.274611900000004,-95.63096999999999
Clontarf,city,45.3766825,-95.677376
Cloquet,city,46.722066600000005,-92.492402
Coates,city,44.715936,-93.032123
Cobden,city,44.2825194,-94.846547
Cohasset,city,47.239123799999994,-93.639699
Cokato,city,45.0768914,-94.187789
Cold Spring,city,45.457913299999994,-94.429724
Coleraine,city,47.3024581,-93.429041
Cologne,city,44.7692892,-93.792692
Columbia Heights,city,45.0484054,-93.247214
Columbus,city,45.268555,-93.080867
Comfrey,city,44.1112781,-94.903334
Comstock,city,46.6595063,-96.746317
Conger,city,43.6149774,-93.52847299999999
Cook,city,47.8403914,-92.68798199999999
Coon Rapids,city,45.1755476,-93.309467
Corcoran,city,45.1088429,-93.583618
Correll,city,45.2320575,-96.16265899999999
Cosmos,city,44.9353633,-94.694911
Cottage Grove,city,44.8162324,-92.927228
Cottonwood,city,44.611013299999996,-95.67195
Courtland,city,44.2699633,-94.346417
Cromwell,city,46.6796394,-92.872575
Crookston,city,47.7737696,-96.607362
Crosby,city,46.489304499999996,-93.957453
Crosslake,city,46.6755891,-94.095549
Crystal,city,45.0376358,-93.359836
Currie,city,44.07046679999999,-95.66725799999999
Cuyuna,city,46.511175099999996,-93.925686
Cyrus,city,45.6147248,-95.73791800000001
Dakota,city,43.9121751,-91.35806099999999
Dalton,city,46.173894,-95.915553
Danube,city,44.7909763,-95.103501
Danvers,city,45.2809054,-95.755758
Darfur,city,44.0537813,-94.835678
Darwin,city,45.096238799999995,-94.404647
Dassel,city,45.082864799999996,-94.314291
Campbell,city,46.0975247,-96.40552199999999
Canby,city,44.71486470000001,-96.269327
Cannon Falls,city,44.5134437,-92.903548
Canton,city,43.529628100000004,-91.92996
Carlos,city,45.9732797,-95.292528
Carlton,city,46.6594101,-92.422702
Carver,city,44.758588399999994,-93.628371
Cass Lake,city,47.37886470000001,-94.59889799999999
Cedar Mills,city,44.946482700000004,-94.519888
Centerville,city,45.163773799999994,-93.054066
Ceylon,city,43.5321133,-94.631551
Champlin,city,45.1702718,-93.39045
Chandler,city,43.930653899999996,-95.951358
Chanhassen,city,44.854251,-93.56270400000001
Chaska,city,44.8165075,-93.609127
Chatfield,city,43.8393636,-92.18253
Ada,city,47.2990737,-96.516635
Adams,city,43.5651926,-92.71905
Adrian,city,43.633356799999994,-95.933254
Afton,city,44.90416,-92.817355
Aitkin,city,46.529250700000006,-93.706073
Akeley,city,47.000597,-94.72800600000001
Albany,city,45.6286783,-94.568322
