county	cites
Aitkin	['Hill City', 'Aitkin', 'McGrath', 'McGregor', 'Tamarack', 'Palisade']
Anoka	['Circle Pines', 'Columbia Heights', 'Columbus', 'Coon Rapids', 'Centerville', 'Andover', 'Anoka', 'Bethel', 'Blaine', 'Ham Lake', 'Hilltop', 'East Bethel', 'Fridley', 'Oak Grove', 'Lexington', 'Lino Lakes', 'Spring Lake Park', 'Ramsey', 'St Francis', 'Nowthen']
Becker	['Callaway', 'Audubon', 'Detroit Lakes', 'Frazee', 'Ogema', 'Lake Park', 'Wolf Lake']
Beltrami	['Bemidji', 'Blackduck', 'Kelliher', 'Solway', 'Tenstrike', 'Turtle River', 'Wilton']
Benton	['Foley', 'Gilman', 'Rice', 'Sauk Rapids']
Big Stone	['Clinton', 'Correll', 'Barry', 'Beardsley', 'Graceville', 'Odessa', 'Johnson', 'Ortonville']
Blue Earth	['Amboy', 'Eagle Lake', 'Good Thunder', 'Lake Crystal', 'Madison Lake', 'Mankato', 'Mapleton', 'Skyline', 'Pemberton', 'St Clair', 'Vernon Center']
Brown	['Cobden', 'Comfrey', 'Hanska', 'Evan', 'New Ulm', 'Sleepy Eye', 'Springfield']
Carlton	['Cloquet', 'Cromwell', 'Carlton', 'Barnum', 'Moose Lake', 'Kettle River', 'Thomson', 'Scanlon', 'Wrenshall', 'Wright']
Carver	['Cologne', 'Carver', 'Chanhassen', 'Chaska', 'Hamburg', 'Mayer', 'New Germany', 'Norwood Young America', 'Victoria', 'Waconia', 'Watertown']
Cass	['Chickamaw Beach', 'Cass Lake', 'Backus', 'Bena', 'Boy River', 'Hackensack', 'East Gull Lake', 'Federal Dam', 'Lake Shore', 'Longville', 'Pillager', 'Pine River', 'Remer', 'Walker']
Chippewa	['Clara City', 'Maynard', 'Milan', 'Montevideo', 'Watson']
Chisago	['Center City', 'Chisago City', 'Rush City', 'Harris', 'North Branch', 'Lindstrom', 'Shafer', 'Stacy', 'Taylors Falls', 'Wyoming']
Clay	['Comstock', 'Barnesville', 'Hawley', 'Hitterdal', 'Dilworth', 'Felton', 'Georgetown', 'Glyndon', 'Moorhead', 'Sabin', 'Ulen']
Clearwater	['Clearbrook', 'Bagley', 'Gonvick', 'Leonard', 'Shevlin']
Cook	['Grand Marais']
Cottonwood	['Bingham Lake', 'Mountain Lake', 'Jeffers', 'Storden', 'Westbrook', 'Windom']
Crow Wing	['Breezy Point', 'Crosby', 'Crosslake', 'Cuyuna', 'Baxter', 'Brainerd', 'Deerwood', 'Emily', 'Fifty Lakes', 'Fort Ripley', 'Garrison', 'Nisswa', 'Ironton', 'Jenkins', 'Manhattan Beach', 'Pequot Lakes', 'Riverton', 'Trommald']
Dakota	['Burnsville', 'Coates', 'Apple Valley', 'Hampton', 'Hastings', 'Eagan', 'Farmington', 'Mendota', 'Mendota Heights', 'New Trier', 'Miesville', 'Inver Grove Heights', 'Lakeville', 'Lilydale', 'South St Paul', 'Sunfish Lake', 'Randolph', 'Rosemount', 'Vermillion', 'West St Paul']
Dodge	['Claremont', 'Hayfield', 'Dodge Center', 'Kasson', 'Mantorville', 'West Concord']
Douglas	['Carlos', 'Alexandria', 'Brandon', 'Evansville', 'Forada', 'Garfield', 'Nelson', 'Millerville', 'Miltona', 'Kensington', 'Osakis']
Faribault	['Bricelyn', 'Blue Earth', 'Delavan', 'Easton', 'Elmore', 'Frost', 'Minnesota Lake', 'Kiester', 'Walters', 'Wells', 'Winnebago']
