zipcode,city
55001,AFTON
55002,ALMELUND
55003,BAYPORT
55005,BETHEL
55006,BRAHAM
55007,BROOK PARK
55008,CAMBRIDGE
55009,CANNON FALLS
55010,CASTLE ROCK
55011,CEDAR
55012,CENTER CITY
55013,CHISAGO CITY
55014,CIRCLE PINES
55016,COTTAGE GROVE
55017,DALBO
55018,DENNISON
55019,DUNDAS
55020,ELKO NEW MARKET
55021,FARIBAULT
55024,FARMINGTON
55025,FOREST LAKE
55026,FRONTENAC
55027,GOODHUE
55029,GRANDY
55030,GRASSTON
55031,HAMPTON
55032,HARRIS
55033,HASTINGS
55036,HENRIETTE
55037,HINCKLEY
55038,HUGO
55040,ISANTI
55041,LAKE CITY
55042,LAKE ELMO
55043,LAKELAND
55044,LAKEVILLE
55045,LINDSTROM
55046,LONSDALE
55047,MARINE ON ST CROIX
55049,MEDFORD
55051,MORA
55052,MORRISTOWN
55053,NERSTRAND
55054,ELKO NEW MARKET
55055,NEWPORT
55056,NORTH BRANCH
55057,NORTHFIELD
55060,OWATONNA
55063,PINE CITY
55065,RANDOLPH
55066,RED WING
55067,ROCK CREEK
55068,ROSEMOUNT
55069,RUSH CITY
55070,ST FRANCIS
55071,ST PAUL PARK
55072,SANDSTONE
55073,SCANDIA
55074,SHAFER
55075,SOUTH ST PAUL
55076,INVER GROVE HEIGHTS
55077,INVER GROVE HEIGHTS
55078,STACY
55079,STACY
55080,STANCHFIELD
55082,STILLWATER
55083,STILLWATER
55084,TAYLORS FALLS
55085,VERMILLION
55087,WARSAW
55088,WEBSTER
55089,WELCH
55090,WILLERNIE
55092,WYOMING
55101,ST PAUL
55102,ST PAUL
55103,ST PAUL
55104,ST PAUL
55105,ST PAUL
55106,ST PAUL
55107,ST PAUL
55108,ST PAUL
55109,ST PAUL
55110,ST PAUL
55111,ST PAUL
55112,ST PAUL
55113,ST PAUL
55114,ST PAUL
55115,ST PAUL
55116,ST PAUL
55117,ST PAUL
55118,ST PAUL
55119,ST PAUL
55120,ST PAUL
55121,ST PAUL
