address	city	county	disabled	elderly	hud_score	lat	long	name	value_rating	zipcode
219 Eagle Court	Randall	Morrison	False	True	100	46.0832275	-94.49043689999999	Eagle Court Apartments	3.9	56475
200 South Erickson St	Houston	Houston	True	True	100	43.7621537	-91.56163130000002	Valley View Manor -- Houston Mn	3.8	55943
105 Railroad Ave NE	Clearbrook	Clearwater	True	True	100	47.6954077	-95.42527059999999	Brookfield Apartments	3.6	56634
165 24th Place Nw	Owatonna	Steele	False	True	100	44.0851309	-93.25652819999999	Owatonna Senior Housing Inc	3.1	55060
1845 Stinson Blvd Ne	Minneapolis	Hennepin	True	False	99	45.0075625	-93.2262028	Home Share	5.0	55418
1800 High Pointe Ln Nw	Rochester	Olmsted	False	True	99	44.082637	-92.48920690000001	High Pointe	4.0	55901
121 Faust St	Pierz	Morrison	False	True	99	45.9779667	-94.1000703	Rose Court	4.0	56364
114 2nd St Ne	Ulen	Clay	True	True	99	47.077829	-96.25619499999999	Agassiz Apartments	3.8	56585
2626 Kenzie Ter	Saint Anthony	Hennepin	False	True	99	45.0150379	-93.2214025	Walker Methodist Kenzie (	3.8	55418
1600 Eastwood Road Se	Rochester	Olmsted	True	False	99	44.0069541	-92.43976870000002	Bostrom Terrace	3.8	55904
255 Mill Street	Excelsior	Hennepin	False	True	99	44.9015105	-93.5614987	South Shore Park	3.7	55331
1455 Almond Ave	Saint Paul	Ramsey	False	True	99	44.979646	-93.16131800000001	Lyngblomsten Apartments	3.7	55108
21001 John Milless Dr	Rogers	Hennepin	False	True	99	45.1892434	-93.5479776	Pleasant Place Apartments	3.7	55374
608 Washington Ave So	Albert Lea	Freeborn	False	True	99	43.6449804	-93.3703158	Albert Lea Senior Housing	3.7	56007
5010 Summit Ave	Edina	Hennepin	False	True	99	44.9124021	-93.3553	Woodhaven	3.6	55436
1211 4th Ave N	Sauk Rapids	Benton	False	True	99	45.6047878	-94.17542519999999	Good Shepherd Homes	3.6	56379
2001 S Ninth St	Minneapolis	Hennepin	False	True	99	44.963775	-93.24361499999999	Kosciolek House	3.5	55404
410 4th Ave S	Long Prairie	Todd	False	True	99	45.9693639	-94.8587823	Prairie View 400	3.5	56347
643 Dayton Ave	Saint Paul	Ramsey	False	True	99	44.9477199	-93.127183	Ramsey Commons	3.5	55104
