Primary City,score,zip,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,latitude,longitude,country,estimated_population
Ada,0,56510,Lockhart,,MN,Norman County,America/Chicago,218,47.29,-96.51,US,1974
Adams,0,55909,,Johnsburg,MN,Mower County,America/Chicago,507,43.56,-92.71,US,1206
Adolph,0,55701,Duluth,,MN,St Louis County,America/Chicago,218,46.84,-92.22,US,0
Adrian,0,56110,,,MN,Nobles County,America/Chicago,507,43.63,-95.93,US,1666
Afton,0,55001,,,MN,Washington County,America/Chicago,"612,651",44.9,-92.81,US,2750
Ah Gwah Ching,0,56430,,,MN,Cass County,America/Chicago,218,47.06,-94.5,US,0
Aitkin,0,56431,,,MN,Aitkin County,America/Chicago,"218,320",46.53,-93.71,US,7072
Akeley,0,56433,,,MN,Hubbard County,America/Chicago,218,47,-94.72,US,1211
Albany,0,56307,,,MN,Stearns County,America/Chicago,320,45.63,-94.56,US,4213
Albert Lea,0,56007,"Manchester, Oakland",,MN,Freeborn County,America/Chicago,507,43.65,-93.36,US,17858
Alberta,0,56207,,,MN,Stevens County,America/Chicago,320,45.57,-96.05,US,0
Albertville,0,55301,Otsego,,MN,Wright County,America/Chicago,763,45.23,-93.66,US,8310
Alborn,0,55702,,,MN,St Louis County,America/Chicago,218,46.97,-92.57,US,0
Alden,0,56009,,,MN,Freeborn County,America/Chicago,507,43.67,-93.57,US,1471
Aldrich,0,56434,,,MN,Todd County,America/Chicago,218,46.37,-94.93,US,0
Alexandria,0,56308,,Alex,MN,Douglas County,America/Chicago,320,45.87,-95.37,US,20392
Almelund,0,55002,,Center City,MN,Chisago County,America/Chicago,,45.52,-92.87,US,0
Alpha,0,56111,,,MN,Jackson County,America/Chicago,507,43.63,-94.87,US,0
Altura,0,55910,Minneiska,"Bethany, Elba, Norton, Weaver",MN,Winona County,America/Chicago,507,44.06,-91.93,US,1303
Alvarado,0,56710,,,MN,Marshall County,America/Chicago,218,48.19,-96.99,US,0
Amboy,0,56010,,,MN,Blue Earth County,America/Chicago,507,43.88,-94.15,US,1041
Andover,0.736111111,55304,"Anoka, Ham Lake","County Market, Soderville",MN,Anoka County,America/Chicago,"763,612",45.25,-93.33,US,40521
Angle Inlet,0,56711,,Penasse,MN,Lake of the Woods County,America/Chicago,218,49.21,-94.97,US,0
Angora,0,55703,,Alango,MN,St Louis County,America/Chicago,218,47.77,-92.63,US,624
Annandale,0,55302,,,MN,Wright County,America/Chicago,320,45.26,-94.11,US,5958
Anoka,0.527777778,55303,"Andover, Nowthen, Oak Grove, Ramsey",,MN,Anoka County,America/Chicago,"763,612",45.21,-93.39,US,39074
Appleton,0,56208,,,MN,Swift County,America/Chicago,320,45.2,-96.02,US,1764
Arco,0,56113,,,MN,Lincoln County,America/Chicago,507,44.38,-96.18,US,0
Argyle,0,56713,,,MN,Marshall County,America/Chicago,218,48.33,-96.81,US,896
Arlington,0,55307,,,MN,Sibley County,America/Chicago,507,44.6,-94.07,US,2708
Ashby,0,56309,,,MN,Grant County,America/Chicago,218,46.09,-95.81,US,1080
Askov,0,55704,,"Aslo, Partridge",MN,Pine County,America/Chicago,320,46.18,-92.78,US,904
Atwater,0,56209,,,MN,Kandiyohi County,America/Chicago,320,45.13,-94.77,US,2092
Audubon,0,56511,,,MN,Becker County,America/Chicago,218,46.86,-95.98,US,1596
Aurora,0,55705,,"Biwabik, Palo, Pineville, White",MN,St Louis County,America/Chicago,218,47.53,-92.24,US,2605
Austin,0,55912,"Mapleview, Nicolville",Andyville,MN,Mower County,America/Chicago,507,43.67,-92.97,US,23996
Avoca,0,56114,,,MN,Murray County,America/Chicago,507,43.94,-95.64,US,0
Avon,0,56310,,,MN,Stearns County,America/Chicago,320,45.6,-94.45,US,4551
Babbitt,0,55706,,,MN,St Louis County,America/Chicago,218,47.64,-91.94,US,1520
Backus,0,56435,,,MN,Cass County,America/Chicago,218,46.82,-94.51,US,1961
Badger,0,56714,,,MN,Roseau County,America/Chicago,218,48.77,-96.02,US,1052
Bagley,0,56621,,"Copley, Ebro, Falk, Nora, Popple, Zerkel",MN,Clearwater County,America/Chicago,218,47.52,-95.4,US,3543
Balaton,0,56115,,,MN,Lyon County,America/Chicago,507,44.23,-95.87,US,1176
Barnesville,0,56514,Downer,,MN,Clay County,America/Chicago,218,46.64,-96.41,US,3111
Barnum,0,55707,Mahtowa,Skelton,MN,Carlton County,America/Chicago,218,46.5,-92.68,US,2707
Barrett,0,56311,,,MN,Grant County,America/Chicago,"320,218",45.91,-95.89,US,590
Barry,0,56210,,,MN,Big Stone County,America/Chicago,320,45.55,-96.55,US,0
Battle Lake,0,56515,,Amor,MN,Otter Tail County,America/Chicago,218,46.28,-95.71,US,2586
Baudette,0,56623,Pitt,"Border, Carp, Clementson, Hackett, Spooner",MN,Lake of the Woods County,America/Chicago,218,48.71,-94.58,US,2425
Baxter,0,56425,Brainerd,,MN,Crow Wing County,America/Chicago,218,46.34,-94.28,US,6468
Bayport,0.5,55003,,"Baytown, Douglas",MN,Washington County,America/Chicago,651,45.01,-92.78,US,1707
Beardsley,0,56211,,,MN,Big Stone County,America/Chicago,320,45.55,-96.71,US,0
Beaver Bay,0,55601,,,MN,Lake County,America/Chicago,218,47.25,-91.29,US,0
Beaver Creek,0,56116,,,MN,Rock County,America/Chicago,507,43.61,-96.36,US,496
Becker,0,55308,,,MN,Sherburne County,America/Chicago,763,45.37,-93.87,US,7337
Bejou,0,56516,,,MN,Mahnomen County,America/Chicago,218,47.44,-95.97,US,0
Belgrade,0,56312,Regal,Spring Hill,MN,Stearns County,America/Chicago,320,45.45,-94.99,US,1997
Belle Plaine,0,56011,,,MN,Scott County,America/Chicago,"952,507",44.62,-93.76,US,7401
Bellingham,0,56212,,,MN,Lac Qui Parle County,America/Chicago,320,45.13,-96.28,US,490
Beltrami,0,56517,,,MN,Polk County,America/Chicago,218,47.54,-96.52,US,0
Belview,0,56214,,,MN,Redwood County,America/Chicago,507,44.6,-95.32,US,650
Bemidji,0,56601,"Turtle River, Wilton","Grant Valley, Jones, Northern, Nymore, Port Hope, Sugar Bush, Ten Lake",MN,Beltrami County,America/Chicago,218,47.48,-94.87,US,22996
Bemidji,0,56619,,,MN,Beltrami County,America/Chicago,218,47.48,-94.87,US,1066
Bena,0,56626,,,MN,Cass County,America/Chicago,218,47.34,-94.2,US,0
Benedict,0,56436,,,MN,Hubbard County,America/Chicago,218,47.15,-94.69,US,0
Benson,0,56215,,,MN,Swift County,America/Chicago,320,45.31,-95.6,US,3906
