city,zipcode,weekday_start,weekday_end,sat_start,sat_end,sun_start,sun_end,percentage
Andover,55304,6:00,20:00,8:00,18:45,0:00,0:00,74%
Anoka,55303,5:15,22:45,7:00,20:00,8:00,16:00,53%
Apple Valley,55303,4:45,23:30,8:00,20:45,8:00,16:00,47%
Arden Hills,56113,5:15,19:30,8:00,20:00,8:00,16:00,44%
Bayport,55003,6:00,18:00,8:00,16:00,8:00,16:00,50%
Baytown Twp.,55003,5:15,18:45,8:00,16:00,8:00,16:00,40%
Birchwood Village,56629,5:45,22:30,6:15,20:00,8:00,16:00,54%
Blaine,56630,5:00,0:30,5:45,23:30,8:00,22:00,44%
Bloomington,55917,0:00,0:00,0:00,0:00,0:00,0:00,100%
Brooklyn Center,55007,0:00,0:00,0:00,0:00,0:00,0:00,100%
Brooklyn Park,55007,3:45,2:00,3:45,2:00,4:45,1:00,92%
Burnsville,55337,5:00,23:45,7:15,22:30,7:30,21:30,67%
Centerville,55012,5:15,18:45,8:00,16:00,8:00,16:00,41%
Champlin,55316,5:15,22:45,7:00,20:00,8:00,16:00,53%
Chanhassen,55317,5:15,18:45,8:00,16:00,8:00,16:00,41%
Chaska,55318,5:15,18:45,8:00,16:00,8:00,16:00,41%
Circle Pines,55014,5:15,18:45,8:00,16:00,8:00,16:00,41%
Columbia Heights,55322,4:15,2:45,4:15,2:45,4:15,2:45,92%
Coon Rapids,55723,5:15,0:30,5:45,23:30,8:00,22:00,38%
Cottage Grove,55016,5:15,18:45,8:00,16:00,8:00,16:00,41%
Crystal,56442,4:15,1:45,3:45,2:00,4:45,0:45,82%
Dayton,55327,5:15,22:45,NO SERVICE,NO SERVICE,NO SERVICE,NO SERVICE,1%
Deephaven,55327,5:15,18:45,8:00,16:00,8:00,16:00,40%
Dellwood,56023,6:00,18:00,8:00,16:00,8:00,16:00,39%
Eagan,56127,5:15,23:45,7:45,21:15,8:00,21:00,61%
Eden Prairie,55347,5:15,18:45,8:00,16:00,8:00,16:00,40%
Edina,56128,4:15,2:15,4:15,2:15,5:15,1:45,79%
Excelsior,55331,5:15,18:45,8:00,16:00,8:00,16:00,41%
Falcon Heights,56031,5:00,2:00,5:00,2:00,5:15,0:45,85%
Fort Snelling,56449,24HR,24HR,24HR,24HR,24HR,24HR,100%
Fridley,56331,4:15,2:45,4:15,2:45,4:15,2:45,85%
Gem Lake,55334,6:00,18:00,8:00,16:00,8:00,16:00,39%
Golden Valley,56547,24HR,24HR,24HR,24HR,24HR,24HR,100%
Greenwood,56335,5:15,18:45,8:00,16:00,8:00,16:00,40%
Hilltop,56138,4:15,2:45,4:15,2:45,4:15,2:45,92%
Hopkins,55343,5:00,2:00,5:00,2:00,5:15,2:00,92%
Inver Grove Heights,55077,5:15,1:45,6:15,1:45,7:00,0:30,18%
Jackson Twp,56143,5:15,18:45,NO SERVICE,NO SERVICE,NO SERVICE,NO SERVICE,18%
Lake Elmo,55042,5:15,18:45,8:00,16:00,8:00,16:00,40%
Lakeville,55044,5:00,23:30,8:00,20:30,NO SERVICE,NO SERVICE,44%
Landfall,56735,5:15,22:30,6:15,20:00,8:00,16:00,54%
Lauderdale,56344,4:45,1:45,5:15,2:00,6:15,0:45,75%
Lexington,56060,5:15,18:45,8:00,16:00,8:00,16:00,40%
Lilydale,56060,5:15,23:45,8:00,20:45,8:00,18:15,58%
Lino Lakes,55045,5:15,18:45,8:00,16:00,8:00,16:00,40%
Little Canada,55355,4:30,23:45,6:15,21:45,6:30,19:30,65%
Long Lake,55356,5:15,18:45,8:00,16:00,8:00,16:00,40%
Mahtomedi,56557,5:15,22:30,6:15,20:00,8:00,16:00,54%
Maple Grove,55955,5:15,21:15,8:00,16:00,8:00,16:00,44%
Maplewood,56065,4:30,1:45,4:15,1:45,4:15,1:30,88%
Medicine Lake,55049,5:15,18:45,8:00,16:00,8:00,16:00,40%
Mendota,55150,5:15,20:15,8:00,16:00,8:00,16:00,43%
Mendota Heights,55150,5:15,23:45,8:00,20:45,8:00,18:15,58%
Minneapolis,55488,24HR,24HR,24HR,24HR,24HR,24HR,100%
Minnetonka,55345,5:00,2:00,5:00,2:00,5:00,2:00,88%
Minnetonka Beach,55361,5:15,20:45,8:00,16:00,8:00,16:00,43%
Minnetrista **,55361,5:15,20:45,NO SERVICE,NO SERVICE,NO SERVICE,NO SERVICE,21%
Mound,55364,5:15,20:45,8:00,16:00,8:00,16:00,43%
Mounds View,55364,5:15,0:30,6:45,23:15,8:00,22:15,64%
MSP Airport,56159,24HR,24HR,24HR,24HR,24HR,24HR,100%
New Brighton,55366,4:15,1:45,4:30,1:45,4:30,1:45,88%
New Hope,55367,5:00,21:30,6:00,20:00,7:30,18:30,60%
Newport,55055,5:15,18:45,8:00,16:00,8:00,16:00,40%
North Oaks,55056,5:15,19:00,8:00,16:00,8:00,16:00,42%
