city,county,walkscore
Center City,Chisago,0
Chisago City,Chisago,37
Clara City,Chippewa,37
Grove City,Meeker,21
Hill City,Aitkin,28
Lake City,Wabasha,27
Minnesota City,Winona,6
Pine City,Pine,34
Rush City,Chisago,26
Zumbrota,Goodhue,58
Breckenridge,Wilkin,56
Breezy Point,Crow Wing,5
Brewster,Nobles,6
Bricelyn,Faribault,21
Brook Park,Pine,0
Brooklyn Center,Hennepin,33
Brooklyn Park,Hennepin,32
Brooks,Red Lake,15
Brookston,St Louis,6
Brooten,Stearns,10
Browerville,Todd,25
Browns Valley,Traverse,26
Brownsdale,Mower,21
Brownsville,Houston,18
Brownton,McLeod,4
Bruno,Pine,8
Buckman,Morrison,6
Buffalo,Wright,55
Buffalo Lake,Renville,19
Buhl,St Louis,2
Burnsville,Dakota,39
Burtrum,Todd,1
Butterfield,Watonwan,13
Byron,Olmsted,9
Caledonia,Houston,55
Callaway,Becker,0
Calumet,Itasca,1
Cambridge,Isanti,16
Chickamaw Beach,Cass,0
Chisholm,St Louis,61
Chokio,Stevens,7
Circle Pines,Anoka,6
Claremont,Dodge,7
Clarissa,Todd,28
Clarkfield,Yellow Medicine,43
Clarks Grove,Freeborn,9
Clear Lake,Sherburne,8
Clearbrook,Clearwater,43
Clearwater,Wright,14
Clements,Redwood,7
Cleveland,Le Sueur,17
Climax,Polk,9
Clinton,Big Stone,22
Clitherall,Otter Tail,9
Clontarf,Swift,0
Cloquet,Carlton,4
Coates,Dakota,7
Cobden,Brown,7
Cohasset,Itasca,0
Cokato,Wright,50
Cold Spring,Stearns,56
Coleraine,Itasca,1
Cologne,Carver,6
Columbia Heights,Anoka,74
Columbus,Anoka,0
Comfrey,Brown,28
Comstock,Clay,6
Conger,Freeborn,0
Cook,St Louis,4
Coon Rapids,Anoka,23
Corcoran,Hennepin,0
Correll,Big Stone,0
Cosmos,Meeker,2
Cottage Grove,Washington,38
Cottonwood,Lyon,33
Courtland,Nicollet,13
Cromwell,Carlton,9
Crookston,Polk,70
Crosby,Crow Wing,20
Crosslake,Crow Wing,0
Crystal,Hennepin,51
Currie,Murray,17
Cuyuna,Crow Wing,0
Cyrus,Pope,0
Dakota,Winona,1
Dalton,Otter Tail,13
Danube,Renville,15
Danvers,Swift,14
Darfur,Watonwan,4
Darwin,Meeker,7
Dassel,Meeker,26
Campbell,Wilkin,0
Canby,Yellow Medicine,41
Cannon Falls,Goodhue,31
Canton,Fillmore,8
Carlos,Douglas,30
Carlton,Carlton,28
Carver,Carver,14
Cass Lake,Cass,30
Cedar Mills,Meeker,0
Centerville,Anoka,25
Ceylon,Martin,1
Champlin,Hennepin,43
Chandler,Murray,10
Chanhassen,Carver,16
Chaska,Carver,13
Chatfield,Fillmore,23
Ada,Norman,56
Adams,Mower,21
Adrian,Nobles,39
Afton,Washington,0
Aitkin,Aitkin,47
Akeley,Hubbard,14
Albany,Stearns,53
Albert Lea,Freeborn,48
Alberta,Stevens,7
Albertville,Wright,74
Alden,Freeborn,7
Aldrich,Wadena,7
Alexandria,Douglas,46
Alpha,Jackson,0
Altura,Winona,28
Alvarado,Marshall,0
Amboy,Blue Earth,36
Andover,Anoka,0
Annandale,Wright,43
Anoka,Anoka,22
Apple Valley,Dakota,6
Appleton,Swift,42
Arco,Lincoln,6
Arden Hills,Ramsey,0
Argyle,Marshall,16
Arlington,Sibley,47
Ashby,Grant,26
Askov,Pine,33
Atwater,Kandiyohi,38
Audubon,Becker,9
Aurora,St Louis,36
Austin,Mower,81
Avoca,Murray,3
Avon,Stearns,29
Babbitt,St Louis,0
Backus,Cass,2
Badger,Roseau,12
Bagley,Clearwater,40
Balaton,Lyon,23
Barnesville,Clay,39
Barnum,Carlton,16
Barrett,Grant,28
Barry,Big Stone,1
Battle Lake,Otter Tail,36
Baudette,Lake of the Woods,0
Baxter,Crow Wing,15
Bayport,Washington,33
Beardsley,Big Stone,17
Beaver Bay,Lake,14
Beaver Creek,Rock,17
Becker,Sherburne,28
Bejou,Mahnomen,15
Belgrade,Stearns,30
Belle Plaine,Scott,33
Bellechester,Goodhue,0
Bellingham,Lac qui Parle,7
Beltrami,Polk,0
Belview,Redwood,13
Bemidji,Beltrami,50
Bena,Cass,3
Benson,Swift,56
Bertha,Todd,8
Bethel,Anoka,7
Big Falls,Koochiching,8
Big Lake,Sherburne,17
Bigelow,Nobles,2
Bigfork,Itasca,34
Bingham Lake,Cottonwood,9
Birchwood Village,Washington,3
Bird Island,Renville,36
Biscay,McLeod,10
Biwabik,St Louis,0
Blackduck,Beltrami,45
Blaine,Anoka,17
Blomkest,Kandiyohi,0
Blooming Prairie,Steele,43
Bloomington,Hennepin,6
Blue Earth,Faribault,55
Bluffton,Otter Tail,0
Bock,Mille Lacs,7
Borup,Norman,0
Bovey,Itasca,14
Bowlus,Morrison,16
Boy River,Cass,21
Boyd,Lac qui Parle,12
Braham,Isanti,39
Brainerd,Crow Wing,71
Brandon,Douglas,28
Greenwood,Hennepin,13
Grey Eagle,Todd,32
Grygla,Marshall,34
Gully,Polk,2
Hackensack,Cass,43
Hadley,Murray,0
Hallock,Kittson,32
Halma,Kittson,22
Halstad,Norman,25
Ham Lake,Anoka,0
Hamburg,Carver,12
Hammond,Wabasha,6
Hampton,Dakota,11
Hancock,Stevens,16
Hanley Falls,Yellow Medicine,3
Hanover,Wright,7
Hanska,Brown,3
Harding,Morrison,0
Hardwick,Rock,6
Harmony,Fillmore,44
Harris,Chisago,0
Hartland,Freeborn,14
Hastings,Dakota,66
Hatfield,Pipestone,15
Hawley,Clay,27
Hayfield,Dodge,42
Hayward,Freeborn,13
Hazel Run,Yellow Medicine,3
Hector,Renville,31
Heidelberg,Le Sueur,0
Henderson,Sibley,31
Hendricks,Lincoln,46
Hendrum,Norman,10
Henning,Otter Tail,30
Henriette,Pine,0
Herman,Grant,13
Hermantown,St Louis,0
Heron Lake,Jackson,20
Hewitt,Todd,7
Hibbing,St Louis,32
Hillman,Morrison,12
Hills,Rock,3
Hilltop,Anoka,61
Hinckley,Pine,17
Hitterdal,Clay,10
Hoffman,Grant,37
Hokah,Houston,10
Holdingford,Stearns,20
Holland,Pipestone,15
Hollandale,Freeborn,10
Holloway,Swift,12
Holt,Marshall,8
Hopkins,Hennepin,77
Houston,Houston,40
Howard Lake,Wright,30
Hoyt Lakes,St Louis,0
Hugo,Washington,3
Humboldt,Kittson,0
Hutchinson,McLeod,32
Ihlen,Pipestone,6
Dawson,Lac qui Parle,40
Dayton,Hennepin,0
De Graff,Swift,5
Deephaven,Hennepin,4
Deer Creek,Otter Tail,10
Deer River,Itasca,19
Deerwood,Crow Wing,15
Delano,Wright,26
Delavan,Faribault,0
Delhi,Redwood,0
Dellwood,Washington,0
Denham,Pine,0
Dennison,Goodhue,6
Dent,Otter Tail,12
Detroit Lakes,Becker,12
Dexter,Mower,8
Dilworth,Clay,30
Dodge Center,Dodge,28
Donaldson,Kittson,0
Donnelly,Stevens,15
Doran,Wilkin,0
Dover,Olmsted,2
Dovray,Murray,0
Duluth,St Louis,6
Dumont,Traverse,0
Dundas,Rice,18
Dundee,Nobles,3
Dunnell,Martin,2
Eagan,Dakota,4
Eagle Bend,Todd,10
Eagle Lake,Blue Earth,24
East Bethel,Anoka,0
East Grand Forks,Polk,53
East Gull Lake,Cass,0
Easton,Faribault,25
Echo,Yellow Medicine,7
Eden Prairie,Hennepin,21
Eden Valley,Meeker,28
Edgerton,Pipestone,32
Edina,Hennepin,14
Effie,Itasca,6
Eitzen,Houston,11
Elba,Winona,9
Elbow Lake,Grant,36
Elgin,Wabasha,5
Elizabeth,Otter Tail,7
Elk River,Sherburne,25
Elko New Market,Scott,0
Elkton,Mower,5
Ellendale,Steele,25
Ellsworth,Nobles,26
Elmdale,Morrison,6
Elmore,Faribault,26
Elrosa,Stearns,16
Ely,St Louis,48
Elysian,Le Sueur,7
Emily,Crow Wing,10
Emmons,Freeborn,25
Erhard,Otter Tail,7
Erskine,Polk,14
Evan,Brown,0
Evansville,Douglas,11
Eveleth,St Louis,57
Excelsior,Hennepin,53
Eyota,Olmsted,25
Fairfax,Renville,37
Fairmont,Martin,32
Falcon Heights,Ramsey,23
Faribault,Rice,44
Farmington,Dakota,8
Farwell,Pope,1
Federal Dam,Cass,6
Felton,Clay,7
Fergus Falls,Otter Tail,74
Fertile,Polk,0
Fifty Lakes,Crow Wing,0
Finlayson,Pine,12
Fisher,Polk,10
Flensburg,Morrison,0
Floodwood,St Louis,26
Florence,Lyon,3
Foley,Benton,47
Forada,Douglas,7
Forest Lake,Washington,5
Foreston,Mille Lacs,11
Fort Ripley,Crow Wing,8
Fosston,Polk,27
Fountain,Fillmore,30
Foxhome,Wilkin,0
Franklin,Renville,7
Frazee,Becker,39
Freeborn,Freeborn,0
