geoid	street	city	county	zipcode	walkscore
27001770100	Co Hwy 10	McGregor	Aitkin	55760	0
27001770200	Unnamed Road	Palisade	Aitkin	56469	0
27001770300	Unnamed Road	Aitkin	Aitkin	56431	0
27001770400	330th St	McGregor	Aitkin	55760	0
27001790501	Aitkin County Forest Rd 28-1	McGrath	Aitkin	56350	0
27001790502	250th Ln	Aitkin	Aitkin	56431	0
27003050107	Ambassador Blvd NW	St Francis	Anoka	55070	0
27003050108	239th Ave NW	St Francis	Anoka	55070	2
27003050109	S Waconia Cir NE	Bethel	Anoka	55005	0
27003050110	Taylor St NE	East Bethel	Anoka	55011	0
27003050111	Vickers St NE	Wyoming	Anoka	55092	0
27003050114	Rum River Blvd	Oak Grove	Anoka	55303	4
27003050115	205th Ave NW	Oak Grove	Anoka	55011	0
27003050116	205th Ave NW	Elk River	Anoka	55330	0
27003050208	Jay St NW	Andover	Anoka	55304	34
27003050210	Camp 3 Rd NE	Circle Pines	Anoka	55014	0
27003050215	Hwy 65 NE	Andover	Anoka	55304	10
27003050216	Shenandoah St NE	Ham Lake	Anoka	55304	0
27003050217	Hanson Blvd NW	Andover	Anoka	55304	3
27003050218	Jivaro St NW	Andover	Anoka	55304	0
27003050219	152nd Ln NW	Andover	Anoka	55304	0
27003050220	Andover Blvd NW	Andover	Anoka	55304	0
27003050221	Prairie Rd NW	Andover	Anoka	55304	0
27003050222	140th Ln NW	Andover	Anoka	55304	1
27003050223	162nd Ln NW	Ramsey	Anoka	55303	0
27003050224	Zeolite St NW	Ramsey	Anoka	55303	0
27003050225	Fluorine St NW	Ramsey	Anoka	55303	2
27003050226	Yakima St NW	Ramsey	Anoka	55303	3
27003050227	144th Ave NW	Ramsey	Anoka	55303	6
27003050228	149th Ave NW	Ramsey	Anoka	55303	2
27003050229	Teckla Ct	Lino Lakes	Anoka	55014	10
27003050230	County Hwy 21	Lino Lakes	Anoka	55038	7
27003050232	Main St	Hugo	Anoka	55038	25
27003050233	Evergreen Trail	Circle Pines	Anoka	55014	11
27003050234	Vickers St NE	Ham Lake	Anoka	55304	0
27003050235	Hemlock Ln	Ham Lake	Anoka	55304	11
27003050236	Joyer Ln	Hugo	Anoka	55038	8
27003050237	E St	Lino Lakes	Anoka	55014	2
27003050401	Kennedy St	Anoka	Anoka	55303	5
27003050402	Fairoak Ct	Anoka	Anoka	55303	31
