Agency	Population	Part 1 Crime Rate	Part 2 Crime Rate	Combined Crime Rate	Percent Cleared
Aitkin County Total	15,887	2,379	3,047	5,426	55
Anoka County Total	339,364	2,474	3,511	5,984	49
Anoka Co. Sheriff	83,069	1,520	2,080	3,601	49
Anoka PD	17,270	3,573	4,765	8,338	42
Blaine	60,093	3,142	4,045	7,187	39
Centennial Lakes	10,812	1,461	2,673	4,134	52
Columbia Heights	19,715	2,825	3,622	6,447	43
Coon Rapids	62,056	2,628	3,643	6,272	66
Fridley	27,775	4,900	6,664	11,564	46
Lino Lakes	20,910	631	1,836	2,468	52
Spring Lake Park	6,458	4,305	6,535	10,839	35
Ramsey	24,186	1,501	2,716	4,217	46
St Francis	6,274	2,343	5,610	7,953	65
Becker County Total	33,266	1,434	2,206	3,640	45
Becker Co. Sheriff	24,379	546	1,464	2,010	70
Detroit Lakes	8,887	3,871	4,242	8,113	28
Beltrami County Total	45,793	3,590	6,940	10,530	71
Beltrami Co. Sheriff	31,193	1,253	3,462	4,716	72
Bemidji	13,805	8,982	15,024	24,006	70
Blackduck	795	1,635	3,019	4,654	65
Benton County Total	30,252	1,540	2,278	3,818	46
Benton Co. Sheriff	17,244	1,189	1,450	2,639	32
Sauk Rapids	13,008	2,006	3,375	5,381	55
Big Stone County Total	5,151	1,029	1,340	2,368	61
Big Stone Co. Sheriff	3,293	1,215	1,792	3,006	62
Ortonville	1,858	700	538	1,238	57
Blue Earth County Total	65,658	2,711	6,080	8,791	54
Blue Earth Co. Sheriff	17,343	928	5,605	6,533	76
Mankato	40,360	3,828	7,049	10,877	49
Mapleton	1,766	1,133	2,322	3,454	75
Eagle Lake	2,573	583	1,516	2,099	41
Lake Crystal	2,557	1,212	2,386	3,598	45
Madison Lake	1,059	755	3,211	3,966	60
Brown County Total	25,364	1,179	2,748	3,927	66
Brown Co. Sheriff	6,576	274	776	1,049	41
New Ulm	13,185	2,071	4,664	6,735	67
Sleepy Eye	3,501	229	828	1,057	97
Springfield	2,102	0	95	95	50
Carlton County Total	35,446	2,412	3,981	6,393	37
