city	cleared	county	crime_rate	population	score
Aitkin County Total	55	Aitkin	5426	15887	77.7
Anoka County Total	49	Anoka	5984	339364	75.4
Anoka Co. Sheriff	49	Anoka	3601	83069	85.3
Anoka PD	42	Anoka	8338	17270	65.5
Blaine	39	Anoka	7187	60093	70.3
Centennial Lakes	52	Anoka	4134	10812	83.1
Columbia Heights	43	Anoka	6447	19715	73.4
Coon Rapids	66	Anoka	6272	62056	74.2
Fridley	46	Anoka	11564	27775	52.0
Lino Lakes	52	Anoka	2468	20910	90.1
Spring Lake Park	35	Anoka	10839	6458	55.1
Ramsey	46	Anoka	4217	24186	82.8
St Francis	65	Anoka	7953	6274	67.1
Becker County Total	45	Becker	3640	33266	85.2
Becker Co. Sheriff	70	Becker	2010	24379	92.0
Detroit Lakes	28	Becker	8113	8887	66.5
Beltrami County Total	71	Beltrami	10530	45793	56.4
Beltrami Co. Sheriff	72	Beltrami	4716	31193	80.7
Bemidji	70	Beltrami	24006	13805	0.0
Blackduck	65	Beltrami	4654	795	80.9
Benton County Total	46	Benton	3818	30252	84.4
Benton Co. Sheriff	32	Benton	2639	17244	89.4
Sauk Rapids	55	Benton	5381	13008	77.9
Big Stone County Total	61	Big Stone	2368	5151	90.5
Big Stone Co. Sheriff	62	Big Stone	3006	3293	87.8
Ortonville	57	Big Stone	1238	1858	95.2
Blue Earth County Total	54	Blue Earth	8791	65658	63.6
Blue Earth Co. Sheriff	76	Blue Earth	6533	17343	73.1
Mankato	49	Blue Earth	10877	40360	54.9
Mapleton	75	Blue Earth	3454	1766	86.0
Eagle Lake	41	Blue Earth	2099	2573	91.6
Lake Crystal	45	Blue Earth	3598	2557	85.3
Madison Lake	60	Blue Earth	3966	1059	83.8
Brown County Total	66	Brown	3927	25364	84.0
Brown Co. Sheriff	41	Brown	1049	6576	96.0
New Ulm	67	Brown	6735	13185	72.2
Sleepy Eye	97	Brown	1057	3501	96.0
Springfield	50	Brown	95	2102	100.0
Carlton County Total	37	Carlton	6393	35446	73.7
Carlton Co. Sheriff	35	Carlton	4127	20643	83.1
Cloquet	40	Carlton	9879	12005	59.1
Moose Lake	31	Carlton	8149	2798	66.3
Carver County Total	61	Carver	3127	94823	87.3
Carver Co. Sheriff	60	Carver	3211	70665	87.0
Chaska	64	Carver	2881	24158	88.3
Cass County Total	47	Cass	13658	28358	43.3
Chippewa County Total	50	Chippewa	4196	11249	82.8
Chippewa Co. Sheriff	28	Chippewa	1075	6048	95.9
Montevideo	54	Chippewa	7825	5201	67.7
Chisago County Total	40	Chisago	3723	53478	84.8
Chisago Co. Sheriff	31	Chisago	2534	26520	89.8
North Branch	46	Chisago	5639	9966	76.8
Wyoming	55	Chisago	3459	7690	85.9
Lakes Area PD	37	Chisago	5278	9302	78.3
Clay County Total	52	Clay	6248	60693	74.3
Clay Co. Sheriff	62	Clay	2949	17260	88.1
Dilworth	72	Clay	9852	4111	59.2
Moorhead	48	Clay	7319	39322	69.8
Clearwater County Total	57	Clearwater	5348	8733	78.0
Cook County Total	26	Cook	6682	5208	72.5
Cottonwood County Total	68	Cottonwood	5384	11608	77.9
Cottonwood Co. Sheriff	57	Cottonwood	3280	4939	86.7
Mountain Lake	56	Cottonwood	1976	2075	92.1
Windom	74	Cottonwood	9186	4594	62.0
Crow Wing County Total	51	Crow Wing	6810	63182	71.9
Crow Wing Co. Sheriff	48	Crow Wing	2144	39601	91.4
Brainerd	44	Crow Wing	18180	13493	24.4
Crosby	64	Crow Wing	9540	2369	60.5
Baxter	70	Crow Wing	10040	7719	58.4
Dakota County Total	53	Dakota	4898	407257	79.9
Dakota Co. Sheriff	53	Dakota	3873	19983	84.2
Burnsville	31	Dakota	5718	61371	76.5
Farmington	44	Dakota	2506	22190	89.9
Hastings	55	Dakota	5987	22365	75.4
Mendota Heights	34	Dakota	4230	11158	82.7
Rosemount	47	Dakota	3530	22579	85.6
South St Paul	99	Dakota	6576	20484	72.9
West St Paul	47	Dakota	10394	19761	56.9
Eagan	49	Dakota	4234	65052	82.7
Inver Grove Heights	99	Dakota	4980	34294	79.6
Apple Valley	51	Dakota	5428	50262	77.7
Lakeville	46	Dakota	3305	57758	86.6
Dodge County Total	82	Dodge	7675	20326	68.3
Dodge Co. Sheriff	82	Dodge	8544	14303	64.7
Kasson	80	Dodge	5612	6023	76.9
Douglas County Total	59	Douglas	4682	36821	80.8
Douglas Co. Sheriff	55	Douglas	2428	23395	90.2
Alexandria	61	Douglas	9449	11716	60.9
Osakis	73	Douglas	2865	1710	88.4
Faribault County Total	56	Faribault	3590	14234	85.4
Faribault Co. Sheriff	53	Faribault	3486	6656	85.8
Blue Earth	58	Faribault	4871	3264	80.0
Elmore	42	Faribault	1860	645	92.6
Wells	49	Faribault	1978	2275	92.1
Winnebago	68	Faribault	4519	1394	81.5
Fillmore County Total	48	Fillmore	1153	20905	95.6
Freeborn County Total	64	Freeborn	4646	31104	81.0
Freeborn Co. Sheriff	65	Freeborn	2553	13237	89.7
Albert Lea	63	Freeborn	6196	17867	74.5
Goodhue County Total	49	Goodhue	5999	45791	75.3
Goodhue Co. Sheriff	35	Goodhue	2633	21917	89.4
Cannon Falls	54	Goodhue	7377	4080	69.5
Red Wing	53	Goodhue	10401	16489	56.9
Zumbrota	47	Goodhue	4660	3305	80.9
Grant County Total	35	Grant	3095	5946	87.5
Hennepin County Total	39	Hennepin	6166	1211265	74.6
Hennepin Co. Sheriff	79	Hennepin	7651	9528	68.4
Bloomington	56	Hennepin	8842	87057	63.4
Brooklyn Center	51	Hennepin	8107	30814	66.5
Brooklyn Park	43	Hennepin	9068	78353	62.5
Crystal	50	Hennepin	7349	22642	69.7
Deephaven-Woodland	73	Hennepin	4062	3742	83.4
Edina	43	Hennepin	3180	49405	87.1
So Lake Mtka	69	Hennepin	5762	11992	76.3
Golden Valley	29	Hennepin	4822	20904	80.2
Hopkins	31	Hennepin	6660	18108	72.5
Minneapolis	20	Hennepin	6957	396206	71.3
Minnetonka	46	Hennepin	3843	51573	84.3
New Hope	58	Hennepin	4762	20852	80.5
Orono	45	Hennepin	2563	21190	89.7
Osseo	28	Hennepin	2697	2484	89.1
Plymouth	42	Hennepin	3727	73684	84.8
Richfield	50	Hennepin	5758	36367	76.3
Robbinsdale	51	Hennepin	8731	14363	63.9
St Anthony	53	Hennepin	5352	8445	78.0
St Louis Park	44	Hennepin	5783	46723	76.2
Wayzata	47	Hennepin	7201	3805	70.3
Eden Prairie	50	Hennepin	3109	62714	87.4
Maple Grove	59	Hennepin	4291	65318	82.5
Minnetrista	66	Hennepin	3016	9119	87.8
Champlin	30	Hennepin	3940	23881	83.9
Medina	69	Hennepin	5282	5093	78.3
Corcoran	94	Hennepin	2816	5539	88.6
Dayton	79	Hennepin	3623	4885	85.2
Rogers PD	49	Hennepin	5856	11782	75.9
West Hennepin	75	Hennepin	3115	5458	87.4
Houston County Total	70	Houston	5291	18845	78.3
Houston Co. Sheriff	77	Houston	7654	8388	68.4
Caledonia	66	Houston	9227	2807	61.8
Houston PD	35	Houston	5521	978	77.3
Hokah	29	Houston	7420	566	69.4
Hubbard County Total	70	Hubbard	8469	20391	65.0
Hubbard Co. Sheriff	69	Hubbard	6448	16718	73.4
Park Rapids	71	Hubbard	17669	3673	26.5
Isanti County Total	63	Isanti	4975	38496	79.6
Isanti Co. Sheriff	65	Isanti	3298	24835	86.6
Cambridge	58	Isanti	10784	8244	55.3
Isanti PD	76	Isanti	3821	5417	84.4
Itasca County Total	67	Itasca	7273	45443	70.0
Itasca Co. Sheriff	62	Itasca	5025	34509	79.4
Grand Rapids	72	Itasca	14368	10934	40.3
Jackson County Total	45	Jackson	2047	13627	91.8
Jackson Co. Sheriff	45	Jackson	2767	8639	88.8
Lakefield	48	Jackson	2372	1686	90.5
Kanabec County Total	90	Kanabec	5056	15982	79.3
Kandiyohi County Total	58	Kandiyohi	5054	42562	79.3
Kandiyohi Co. Sheriff	56	Kandiyohi	3231	22871	86.9
Willmar	59	Kandiyohi	7171	19691	70.4
Kittson County Total	25	Kittson	3005	4493	87.8
Kittson Co. Sheriff	25	Kittson	3823	3531	84.4
Koochiching County Total	22	Koochiching	7550	13219	68.8
Koochiching Co. Sheriff	22	Koochiching	5492	6883	77.4
International Falls	22	Koochiching	9785	6336	59.5
