city	cleared	county	crime_rate	population	score
Aitkin County Total	55	Aitkin	5426	15887	78
Anoka County Total	49	Anoka	5984	339364	75
Anoka Co. Sheriff	49	Anoka	3601	83069	85
Anoka PD	42	Anoka	8338	17270	66
Blaine	39	Anoka	7187	60093	70
Centennial Lakes	52	Anoka	4134	10812	83
Columbia Heights	43	Anoka	6447	19715	73
Coon Rapids	66	Anoka	6272	62056	74
Fridley	46	Anoka	11564	27775	52
Lino Lakes	52	Anoka	2468	20910	90
Spring Lake Park	35	Anoka	10839	6458	55
Ramsey	46	Anoka	4217	24186	83
St Francis	65	Anoka	7953	6274	67
Becker County Total	45	Becker	3640	33266	85
Becker Co. Sheriff	70	Becker	2010	24379	92
Detroit Lakes	28	Becker	8113	8887	66
Beltrami County Total	71	Beltrami	10530	45793	56
Beltrami Co. Sheriff	72	Beltrami	4716	31193	81
Bemidji	70	Beltrami	24006	13805	0
Blackduck	65	Beltrami	4654	795	81
Benton County Total	46	Benton	3818	30252	84
Benton Co. Sheriff	32	Benton	2639	17244	89
Sauk Rapids	55	Benton	5381	13008	78
Big Stone County Total	61	Big Stone	2368	5151	90
Big Stone Co. Sheriff	62	Big Stone	3006	3293	88
Ortonville	57	Big Stone	1238	1858	95
Blue Earth County Total	54	Blue Earth	8791	65658	64
Blue Earth Co. Sheriff	76	Blue Earth	6533	17343	73
Mankato	49	Blue Earth	10877	40360	55
Mapleton	75	Blue Earth	3454	1766	86
Eagle Lake	41	Blue Earth	2099	2573	92
Lake Crystal	45	Blue Earth	3598	2557	85
Madison Lake	60	Blue Earth	3966	1059	84
Brown County Total	66	Brown	3927	25364	84
Brown Co. Sheriff	41	Brown	1049	6576	96
New Ulm	67	Brown	6735	13185	72
Sleepy Eye	97	Brown	1057	3501	96
Springfield	50	Brown	95	2102	100
Carlton County Total	37	Carlton	6393	35446	74
Carlton Co. Sheriff	35	Carlton	4127	20643	83
Cloquet	40	Carlton	9879	12005	59
Moose Lake	31	Carlton	8149	2798	66
Carver County Total	61	Carver	3127	94823	87
Carver Co. Sheriff	60	Carver	3211	70665	87
Chaska	64	Carver	2881	24158	88
Cass County Total	47	Cass	13658	28358	43
Chippewa County Total	50	Chippewa	4196	11249	83
Chippewa Co. Sheriff	28	Chippewa	1075	6048	96
Montevideo	54	Chippewa	7825	5201	68
Chisago County Total	40	Chisago	3723	53478	85
Chisago Co. Sheriff	31	Chisago	2534	26520	90
North Branch	46	Chisago	5639	9966	77
Wyoming	55	Chisago	3459	7690	86
Lakes Area PD	37	Chisago	5278	9302	78
Clay County Total	52	Clay	6248	60693	74
Clay Co. Sheriff	62	Clay	2949	17260	88
