id,city,county,walk_score,metro_score,safety_score,community_score,hospital_score,house_score,accessibility_score
00172,Ada,Norman,17,0,88,44,43,0,37
00190,Adams,Mower,6,0,42,57,0,0,21
00262,Adrian,Nobles,12,0,94,31,0,0,27
00316,Afton,Washington,0,0,45,27,0,0,14
00460,Aitkin,Aitkin,14,0,40,71,53,0,35
00496,Akeley,Hubbard,4,0,28,72,0,0,21
00622,Albany,Stearns,28,0,67,34,49,92,52
00676,Alberta,Stevens,2,0,75,75,0,0,30
00694,Albert Lea,Freeborn,30,0,31,64,76,96,58
00730,Albertville,Wright,22,0,72,4,0,0,18
00838,Alden,Freeborn,2,0,84,50,0,0,27
00892,Aldrich,Wadena,2,0,67,61,0,0,26
00928,Alexandria,Douglas,21,0,11,59,67,43,39
01162,Alpha,Jackson,0,0,81,4,0,0,17
01234,Altura,Winona,8,0,93,16,0,0,23
01252,Alvarado,Marshall,0,0,20,7,0,0,5
01324,Amboy,Blue Earth,11,0,28,62,0,0,20
01486,Andover,Anoka,8,74,70,14,0,0,22
01684,Annandale,Wright,13,0,72,24,0,0,21
01720,Anoka,Anoka,31,53,16,75,0,89,43
01864,Appleton,Swift,13,0,4,86,43,0,28
01900,Apple Valley,Dakota,13,47,40,14,0,88,33
01972,Arco,Lincoln,2,0,86,51,0,0,28
02026,Arden Hills,Ramsey,7,44,82,14,0,0,23
02134,Argyle,Marshall,5,0,20,82,0,0,21
02152,Arlington,Sibley,14,0,99,56,49,0,43
02422,Ashby,Grant,8,0,78,76,0,0,32
02548,Askov,Pine,10,0,14,96,0,0,23
02692,Atwater,Kandiyohi,11,0,76,53,0,0,27
02728,Audubon,Becker,5,0,91,35,0,0,26
02872,Aurora,St Louis,32,0,64,62,43,0,38
02908,Austin,Mower,46,0,9,57,0,94,38
03052,Avoca,Murray,1,0,87,49,0,0,27
03070,Avon,Stearns,9,0,49,13,0,0,14
03106,Babbitt,St Louis,0,0,47,88,0,0,27
03124,Backus,Cass,1,0,3,74,0,0,15
03160,Badger,Roseau,4,0,62,68,0,0,27
03196,Bagley,Clearwater,12,0,42,98,49,0,39
03250,Balaton,Lyon,7,0,91,61,0,0,31
03574,Barnesville,Clay,12,0,80,31,0,0,24
03628,Barnum,Carlton,5,0,62,45,0,0,22
03682,Barrett,Grant,8,0,78,83,0,0,33
03718,Barry,Big Stone,0,0,79,45,0,0,25
03970,Battle Lake,Otter Tail,11,0,95,93,0,0,39
04024,Baudette,Lake of the Woods,1,0,89,85,51,0,45
04042,Baxter,Crow Wing,4,0,8,20,0,0,6
04114,Bayport,Washington,21,50,47,64,0,0,28
04204,Beardsley,Big Stone,5,0,79,93,0,0,35
04456,Beaver Bay,Lake,4,0,95,94,0,0,38
04492,Beaver Creek,Rock,5,0,49,17,0,0,14
04618,Becker,Sherburne,8,0,61,6,0,0,15
04672,Bejou,Mahnomen,4,0,3,20,0,0,5
04762,Belgrade,Stearns,9,0,79,31,0,0,23
04798,Bellechester,Goodhue,0,0,83,32,0,0,23
04834,Belle Plaine,Scott,11,0,50,15,0,81,31
04960,Bellingham,Lac Qui Parle,2,0,94,94,0,0,38
05014,Beltrami,Polk,0,0,29,8,0,0,7
05050,Belview,Redwood,4,0,88,90,0,0,36
05068,Bemidji,Beltrami,30,0,0,57,64,92,47
05104,Bena,Cass,1,0,3,93,0,0,19
05212,Benson,Swift,38,0,93,79,48,0,49
05482,Bertha,Todd,2,0,43,88,0,0,27
05554,Bethel,Anoka,2,0,70,33,0,0,21
05644,Bigelow,Nobles,1,0,94,5,0,0,20
05680,Big Falls,Koochiching,2,0,39,98,0,0,28
05698,Bigfork,Itasca,10,0,47,99,43,0,39
05752,Big Lake,Sherburne,5,0,62,23,0,0,18
05896,Bingham Lake,Cottonwood,4,0,75,45,0,0,25
06058,Birchwood Village,Washington,1,54,45,55,0,0,23
06076,Bird Island,Renville,11,0,76,74,0,98,51
06112,Biscay,McLeod,3,0,9,66,0,0,15
06148,Biwabik,St Louis,0,0,64,90,0,0,31
06256,Blackduck,Beltrami,14,0,54,83,0,0,29
06382,Blaine,Anoka,22,44,23,15,0,0,13
06490,Blomkest,Kandiyohi,0,0,76,92,0,0,34
06580,Blooming Prairie,Steele,13,0,96,38,0,92,47
06616,Bloomington,Hennepin,19,100,13,45,0,88,38
06688,Blue Earth,Faribault,49,0,51,51,53,0,38
06778,Bluffton,Otter Tail,0,0,95,21,0,0,23
06814,Bock,Mille Lacs,2,0,1,95,0,0,19
07030,Borup,Norman,0,0,88,28,0,0,23
07048,Bovey,Itasca,4,0,47,95,0,0,29
07066,Bowlus,Morrison,5,0,82,37,0,0,24
07138,Boyd,Lac Qui Parle,4,0,94,91,0,0,38
07174,Boy River,Cass,6,0,3,89,0,0,19
07282,Braham,Isanti,12,0,75,68,0,0,30
07300,Brainerd,Crow Wing,25,0,1,88,87,0,39
07336,Brandon,Douglas,8,0,87,33,0,0,25
07462,Breckenridge,Wilkin,39,0,7,68,51,97,50
07516,Breezy Point,Crow Wing,2,0,89,16,0,0,21
07660,Brewster,Nobles,2,0,94,35,0,0,26
07678,Bricelyn,Faribault,6,0,72,80,0,0,31
