tract,city,county,walk_score,metro_score,safety_score,community_score,hospital_score,house_score,accessibility_score
27001770100,McGregor,Aitkin,0,0,40,98,0,0,28
27001770200,Palisade,Aitkin,0,0,40,95,0,0,27
27001770300,Aitkin,Aitkin,0,0,40,84,53,0,35
27001770400,McGregor,Aitkin,0,0,40,99,0,0,28
27001790501,McGrath,Aitkin,0,0,40,98,0,0,28
27001790502,Aitkin,Aitkin,0,0,40,78,0,0,24
27003050107,St Francis,Anoka,1,0,18,96,0,0,23
27003050108,St Francis,Anoka,0,0,18,43,0,0,12
27003050109,Bethel,Anoka,0,0,70,60,0,0,26
27003050110,East Bethel,Anoka,0,0,70,24,0,0,19
27003050111,Wyoming,Anoka,0,0,72,29,0,0,20
27003050114,Oak Grove,Anoka,4,0,70,11,0,0,17
27003050115,Oak Grove,Anoka,1,0,70,26,0,0,19
27003050116,Elk River,Anoka,0,0,27,27,0,0,11
27003050208,Andover,Anoka,34,74,70,47,91,90,69
27003050210,Circle Pines,Anoka,0,41,70,22,0,0,21
27003050215,Andover,Anoka,10,74,70,11,0,90,40
27003050216,Ham Lake,Anoka,0,0,70,6,0,0,15
27003050217,Andover,Anoka,3,74,70,19,0,0,23
27003050218,Andover,Anoka,0,74,70,20,0,0,22
27003050219,Andover,Anoka,0,74,70,27,91,89,60
27003050220,Andover,Anoka,0,74,70,20,91,90,59
27003050221,Andover,Anoka,0,74,70,15,0,90,39
27003050222,Andover,Anoka,1,74,70,10,91,90,57
27003050223,Ramsey,Anoka,0,24,60,29,0,92,38
27003050224,Ramsey,Anoka,0,24,60,41,0,92,40
27003050225,Ramsey,Anoka,2,24,60,4,0,0,15
27003050226,Ramsey,Anoka,3,24,60,26,91,89,55
27003050227,Ramsey,Anoka,6,24,60,70,91,89,64
27003050228,Ramsey,Anoka,2,24,60,33,0,89,38
27003050229,Lino Lakes,Anoka,10,40,86,17,0,0,24
27003050230,Lino Lakes,Anoka,7,40,86,2,0,0,21
27003050232,Hugo,Anoka,25,0,70,7,0,0,19
27003050233,Circle Pines,Anoka,11,41,70,4,0,0,19
27003050234,Ham Lake,Anoka,0,0,70,36,0,0,21
27003050235,Ham Lake,Anoka,11,0,70,41,0,0,24
27003050236,Hugo,Anoka,8,0,70,12,0,0,18
27003050237,Lino Lakes,Anoka,2,40,86,29,0,0,26
27003050401,Anoka,Anoka,5,53,16,83,91,89,60
27003050402,Anoka,Anoka,31,53,16,92,91,89,65
27003050501,Anoka,Anoka,69,53,16,98,91,89,72
27003050504,Anoka,Anoka,28,53,16,82,91,89,63
27003050505,Anoka,Anoka,39,53,16,91,91,89,66
27003050602,Coon Rapids,Anoka,10,38,31,74,91,90,61
27003050605,Coon Rapids,Anoka,33,38,31,57,91,89,60
27003050606,Coon Rapids,Anoka,5,38,31,92,90,90,64
27003050607,Coon Rapids,Anoka,31,38,31,66,91,89,62
27003050608,Coon Rapids,Anoka,6,38,31,38,91,90,53
27003050609,Coon Rapids,Anoka,47,38,31,27,91,89,56
27003050610,Coon Rapids,Anoka,14,38,31,16,91,89,50
27003050702,Coon Rapids,Anoka,47,38,31,38,91,90,59
27003050704,Coon Rapids,Anoka,15,38,31,52,91,90,57
27003050706,Minneapolis,Anoka,38,100,24,35,90,90,59
27003050707,Coon Rapids,Anoka,4,38,31,15,91,90,48
27003050709,Coon Rapids,Anoka,11,38,31,47,90,96,57
27003050710,Coon Rapids,Anoka,22,38,31,60,90,96,61
27003050711,Coon Rapids,Anoka,3,38,31,15,91,90,48
27003050712,Coon Rapids,Anoka,20,38,31,72,91,90,62
27003050805,Blaine,Anoka,27,44,23,12,0,90,31
27003050806,Blaine,Anoka,17,44,23,12,0,90,30
27003050807,Blaine,Anoka,27,44,23,81,90,90,63
27003050808,Blaine,Anoka,45,44,23,54,90,90,60
27003050809,Minneapolis,Anoka,9,100,24,21,90,90,52
27003050810,Blaine,Anoka,19,44,23,44,90,96,56
27003050811,Blaine,Anoka,45,44,23,75,90,96,66
27003050813,Blaine,Anoka,1,44,23,22,90,86,47
27003050816,Circle Pines,Anoka,12,41,70,32,0,86,42
27003050818,Blaine,Anoka,0,44,23,1,0,0,7
27003050819,Minneapolis,Anoka,0,100,24,3,0,0,11
27003050820,Minneapolis,Anoka,14,100,24,11,0,90,33
27003050821,Blaine,Anoka,14,44,23,11,90,90,47
27003050901,Circle Pines,Anoka,44,41,70,86,90,86,75
27003050902,Circle Pines,Anoka,36,41,70,40,0,95,48
27003051001,Spring Lake Park,Anoka,27,49,6,80,90,96,61
27003051002,Minneapolis,Anoka,43,100,24,62,90,96,66
27003051101,Fridley,Anoka,32,85,4,69,90,96,61
27003051102,Fridley,Anoka,15,85,4,45,90,96,54
27003051103,Fridley,Anoka,21,85,4,73,90,96,61
27003051201,Fridley,Anoka,24,85,4,18,90,97,50
27003051202,Fridley,Anoka,21,85,4,71,90,97,60
27003051203,Fridley,Anoka,23,85,4,30,90,87,51
27003051206,Fridley,Anoka,12,85,4,33,90,99,52
27003051302,Columbia Heights,Anoka,50,92,29,58,90,71,62
27003051304,Minneapolis,Anoka,27,100,24,56,90,71,58
27003051305,Minneapolis,Anoka,66,100,24,93,90,71,71
27003051400,Minneapolis,Anoka,48,100,24,29,90,71,56
27003051501,Columbia Heights,Anoka,75,92,29,68,90,71,68
27003051502,Minneapolis,Anoka,33,100,24,84,90,71,64
27003051600,Stacy,Anoka,0,0,70,61,0,0,26
27005450100,Detroit Lakes,Becker,0,0,17,40,0,0,11
27005450200,Frazee,Becker,0,0,91,53,0,0,29
27005450300,Detroit Lakes,Becker,0,0,17,59,0,0,15
27005450400,Detroit Lakes,Becker,0,0,17,59,0,0,15
27005450500,Detroit Lakes,Becker,15,0,17,72,70,93,52
27005450600,Detroit Lakes,Becker,2,0,17,91,70,93,54
27005450700,Detroit Lakes,Becker,0,0,17,43,0,0,12
27005450800,Audubon,Becker,3,0,91,25,0,0,24
27005450900,Lake Park,Becker,0,0,91,56,0,0,29
27005940000,Ogema,Becker,0,0,91,90,0,0,36
27007450100,Bemidji,Beltrami,0,0,0,51,64,0,23
27007450200,Bemidji,Beltrami,0,0,0,36,64,0,20
27007450300,Bemidji,Beltrami,0,0,0,60,0,0,12
27007450400,Puposky,Beltrami,0,0,53,91,0,0,29
27007450500,Grygla,Beltrami,0,0,53,92,0,0,29
27007450600,Bemidji,Beltrami,42,0,0,67,64,92,50
27007450701,Bemidji,Beltrami,0,0,0,33,64,92,38
27007450702,Bemidji,Beltrami,2,0,0,89,64,92,49
27007940001,Grygla,Beltrami,0,0,53,50,0,0,21
27007940002,Cass Lake,Beltrami,0,0,53,54,0,0,21
27009020100,Oak Park,Benton,0,0,83,53,0,0,27
27009020202,Foley,Benton,0,0,83,41,0,0,25
27009020203,Rice,Benton,0,0,83,30,0,0,23
27009020205,Rice,Benton,0,0,83,52,0,0,27
27009020206,Sauk Rapids,Benton,0,0,41,99,90,99,66
27009020300,Sauk Rapids,Benton,0,0,41,29,0,0,14
27009021101,Sauk Rapids,Benton,8,0,41,52,90,99,58
27009021102,Sauk Rapids,Benton,13,0,41,95,90,99,67
27009021200,St Cloud,Benton,1,0,12,88,90,88,56
27011950100,Ortonville,Big Stone,3,0,98,89,0,0,38
27011950200,Graceville,Big Stone,0,0,79,82,0,0,32
27011950300,Ortonville,Big Stone,13,0,98,92,49,0,50
27013170100,Eagle Lake,Blue Earth,0,0,90,17,0,0,21
27013170200,Mankato,Blue Earth,3,0,6,39,88,96,46
27013170300,Mankato,Blue Earth,11,0,6,83,88,96,56
27013170400,Mankato,Blue Earth,60,0,6,82,88,96,63
27013170500,Mankato,Blue Earth,21,0,6,50,88,96,51
27013170600,Mankato,Blue Earth,64,0,6,54,88,96,58
27013170700,Mankato,Blue Earth,81,0,6,70,88,96,63
27013170800,Mankato,Blue Earth,1,0,6,49,88,96,48
27013170900,Lake Crystal,Blue Earth,0,0,70,53,0,0,25
27013171000,Lake Crystal,Blue Earth,0,0,70,56,0,0,25
27013171101,Mankato,Blue Earth,34,0,6,0,88,96,43
27013171202,Mankato,Blue Earth,10,0,6,57,88,96,51
27013171300,Mankato,Blue Earth,0,0,6,17,0,0,5
27013171400,Mapleton,Blue Earth,0,0,73,67,0,0,28
27013171500,Vernon Center,Blue Earth,0,0,28,65,0,0,19
