Zipcode,City,Lat,Long
55909,ADAMS,43.56,-92.71
55909,JOHNSBURG,43.56,-92.71
56110,ADRIAN,43.63,-95.93
56146,KANARANZI,43.54,-96.11
56146,ADRIAN,43.54,-96.11
55001,AFTON,44.9,-92.81
56431,AITKIN,46.53,-93.71
56433,AKELEY,47.0,-94.72
56307,ALBANY,45.63,-94.56
56207,ALBERTA,45.57,-96.05
56007,ALBERT LEA,43.65,-93.36
56007,MANCHESTER,43.65,-93.36
56007,OAKLAND,43.65,-93.36
55301,ALBERTVILLE,45.23,-93.66
55301,OTSEGO,45.23,-93.66
56009,ALDEN,43.67,-93.57
56434,ALDRICH,46.37,-94.93
56308,ALEXANDRIA,45.87,-95.37
56308,ALEX,45.87,-95.37
56111,ALPHA,43.63,-94.87
55910,ALTURA,44.06,-91.93
55910,MINNEISKA,44.06,-91.93
55910,BETHANY,44.06,-91.93
55910,ELBA,44.06,-91.93
55910,NORTON,44.06,-91.93
55910,WEAVER,44.06,-91.93
56010,AMBOY,43.88,-94.15
55703,ANGORA,47.77,-92.63
55703,ALANGO,47.77,-92.63
55710,BRITT,47.64,-92.68
55710,SANDY,47.64,-92.68
55302,ANNANDALE,45.26,-94.11
55303,ANOKA,45.21,-93.39
55303,ANDOVER,45.21,-93.39
55303,NOWTHEN,45.21,-93.39
55303,OAK GROVE,45.21,-93.39
55303,RAMSEY,45.21,-93.39
55304,ANDOVER,45.25,-93.33
55304,ANOKA,45.25,-93.33
55304,HAM LAKE,45.25,-93.33
55304,COUNTY MARKET,45.25,-93.33
55304,SODERVILLE,45.25,-93.33
56208,APPLETON,45.2,-96.02
56113,ARCO,44.38,-96.18
55307,ARLINGTON,44.6,-94.07
56309,ASHBY,46.09,-95.81
55704,ASKOV,46.18,-92.78
55704,ASLO,46.18,-92.78
55704,PARTRIDGE,46.18,-92.78
56209,ATWATER,45.13,-94.77
55705,AURORA,47.53,-92.24
55705,BIWABIK,47.53,-92.24
55705,PALO,47.53,-92.24
55705,PINEVILLE,47.53,-92.24
55705,WHITE,47.53,-92.24
55912,AUSTIN,43.67,-92.97
55912,MAPLEVIEW,43.67,-92.97
55912,NICOLVILLE,43.67,-92.97
55912,ANDYVILLE,43.67,-92.97
56114,AVOCA,43.94,-95.64
56310,AVON,45.6,-94.45
55706,BABBITT,47.64,-91.94
56435,BACKUS,46.82,-94.51
56621,BAGLEY,47.52,-95.4
56621,COPLEY,47.52,-95.4
56621,EBRO,47.52,-95.4
56621,FALK,47.52,-95.4
56621,NORA,47.52,-95.4
56621,POPPLE,47.52,-95.4
56621,ZERKEL,47.52,-95.4
56115,BALATON,44.23,-95.87
55707,BARNUM,46.5,-92.68
55707,MAHTOWA,46.5,-92.68
55707,SKELTON,46.5,-92.68
56311,BARRETT,45.91,-95.89
56623,BAUDETTE,48.71,-94.58
56623,PITT,48.71,-94.58
56623,BORDER,48.71,-94.58
56623,CARP,48.71,-94.58
56623,CLEMENTSON,48.71,-94.58
56623,HACKETT,48.71,-94.58
56623,SPOONER,48.71,-94.58
55003,BAYPORT,45.01,-92.78
55003,BAYTOWN,45.01,-92.78
55003,DOUGLAS,45.01,-92.78
56211,BEARDSLEY,45.55,-96.71
55601,BEAVER BAY,47.25,-91.29
56116,BEAVER CREEK,43.61,-96.36
55308,BECKER,45.37,-93.87
56312,BELGRADE,45.45,-94.99
56312,REGAL,45.45,-94.99
56312,SPRING HILL,45.45,-94.99
56011,BELLE PLAINE,44.62,-93.76
56212,BELLINGHAM,45.13,-96.28
56214,BELVIEW,44.6,-95.32
56601,BEMIDJI,47.48,-94.87
56601,TURTLE RIVER,47.48,-94.87
56601,WILTON,47.48,-94.87
56601,GRANT VALLEY,47.48,-94.87
56601,JONES,47.48,-94.87
56601,NORTHERN,47.48,-94.87
56601,NYMORE,47.48,-94.87
56601,PORT HOPE,47.48,-94.87
56601,SUGAR BUSH,47.48,-94.87
56601,TEN LAKE,47.48,-94.87
56619,BEMIDJI,47.48,-94.87
56658,MARGIE,48.09,-93.94
56626,BENA,47.34,-94.2
56641,FEDERAL DAM,47.23,-94.21
