tract,city,county,walk_score,metro_score,safety_score,com_score,hosp_score,house_score
27001770100,McGregor,Aitkin,0,0,78,53,0,0
27001770200,Palisade,Aitkin,0,0,78,44,0,0
27001770300,Aitkin,Aitkin,0,0,78,35,53,0
27001770400,McGregor,Aitkin,0,0,78,56,0,0
27001790501,McGrath,Aitkin,0,0,78,51,0,0
27001790502,Aitkin,Aitkin,0,0,78,32,0,0
27003050107,St Francis,Anoka,1,0,67,46,0,0
27003050108,St Francis,Anoka,0,0,67,22,0,0
27003050109,Bethel,Anoka,0,0,85,26,0,0
27003050110,East Bethel,Anoka,0,0,85,16,0,0
27003050111,Wyoming,Anoka,0,0,86,18,0,0
27003050114,Oak Grove,Anoka,4,0,85,12,0,0
27003050115,Oak Grove,Anoka,1,0,85,17,0,0
27003050116,Elk River,Anoka,0,0,73,17,0,0
27003050208,Andover,Anoka,34,74,85,23,91,90
27003050210,Circle Pines,Anoka,0,41,85,16,0,0
27003050215,Andover,Anoka,10,74,85,12,0,90
27003050216,Ham Lake,Anoka,0,0,85,9,0,0
27003050217,Andover,Anoka,3,74,85,15,0,0
27003050218,Andover,Anoka,0,74,85,15,0,0
27003050219,Andover,Anoka,0,74,85,17,91,89
27003050220,Andover,Anoka,0,74,85,15,91,90
27003050221,Andover,Anoka,0,74,85,13,0,90
27003050222,Andover,Anoka,1,74,85,11,91,90
27003050223,Ramsey,Anoka,0,24,83,18,0,92
27003050224,Ramsey,Anoka,0,24,83,21,0,92
27003050225,Ramsey,Anoka,2,24,83,8,0,0
27003050226,Ramsey,Anoka,3,24,83,17,91,89
27003050227,Ramsey,Anoka,6,24,83,29,91,89
27003050228,Ramsey,Anoka,2,24,83,19,0,89
27003050229,Lino Lakes,Anoka,10,40,90,14,0,0
27003050230,Lino Lakes,Anoka,7,40,90,6,0,0
27003050232,Hugo,Anoka,25,0,85,10,0,0
27003050233,Circle Pines,Anoka,11,41,85,8,0,0
27003050234,Ham Lake,Anoka,0,0,85,20,0,0
27003050235,Ham Lake,Anoka,11,0,85,21,0,0
27003050236,Hugo,Anoka,8,0,85,12,0,0
27003050237,Lino Lakes,Anoka,2,40,90,18,0,0
27003050401,Anoka,Anoka,5,53,66,34,91,89
27003050402,Anoka,Anoka,31,53,66,40,91,89
27003050501,Anoka,Anoka,69,53,66,50,91,89
27003050504,Anoka,Anoka,28,53,66,33,91,89
27003050505,Anoka,Anoka,39,53,66,39,91,89
27003050602,Coon Rapids,Anoka,10,38,74,30,91,90
27003050605,Coon Rapids,Anoka,33,38,74,25,91,89
27003050606,Coon Rapids,Anoka,5,38,74,40,90,90
27003050607,Coon Rapids,Anoka,31,38,74,27,91,89
27003050608,Coon Rapids,Anoka,6,38,74,20,91,90
27003050609,Coon Rapids,Anoka,47,38,74,17,91,89
27003050610,Coon Rapids,Anoka,14,38,74,14,91,89
27003050702,Coon Rapids,Anoka,47,38,74,20,91,90
27003050704,Coon Rapids,Anoka,15,38,74,24,91,90
27003050706,Minneapolis,Anoka,38,100,71,19,90,90
27003050707,Coon Rapids,Anoka,4,38,74,13,91,90
27003050709,Coon Rapids,Anoka,11,38,74,23,90,96
27003050710,Coon Rapids,Anoka,22,38,74,26,90,96
27003050711,Coon Rapids,Anoka,3,38,74,13,91,90
27003050712,Coon Rapids,Anoka,20,38,74,29,91,90
27003050805,Blaine,Anoka,27,44,70,12,0,90
